"Schaal";"Habitattype";"Habitatsubtype";"Versie";"SBZH";"nObs";"sumWeights";"AandeelGunstig";"AandeelGunstig_LLCI";"AandeelGunstig_ULCI"
"Vlaanderen Atlantisch";"3130";"alle";"Versie 2.0";"Binnen & Buiten";149;649,57783217834;39,29;26,77;53,38
"Vlaanderen Atlantisch";"3130";"alle";"Versie 2.0";"binnen";141;538,651704872405;45,32;32,67;58,6
"Vlaanderen Atlantisch";"3130";"alle";"Versie 2.0";"buiten";8;110,926127305935;9,99;1,62;42,8
"Vlaanderen Atlantisch";"3130";"3130_aom";"Versie 2.0";"Binnen & Buiten";93;335,735089462032;35,77;20,32;54,87
"Vlaanderen Atlantisch";"3130";"3130_na";"Versie 2.0";"Binnen & Buiten";56;313,842742716309;43,05;24,59;63,67
"Vlaanderen Atlantisch";"3130";"alle";"Versie 3";"Binnen & Buiten";149;649,57783217834;13,4;7,52;22,72
"Vlaanderen Atlantisch";"3130";"alle";"Versie 3";"binnen";141;538,651704872405;14,74;8,28;24,87
"Vlaanderen Atlantisch";"3130";"alle";"Versie 3";"buiten";8;110,926127305935;6,86;0,74;41,94
"Vlaanderen Atlantisch";"3130";"3130_aom";"Versie 3";"Binnen & Buiten";93;335,735089462032;10,38;4,6;21,76
"Vlaanderen Atlantisch";"3130";"3130_na";"Versie 3";"Binnen & Buiten";56;313,842742716309;16,62;7,39;33,24
"Vlaanderen Atlantisch";"3150";"alle";"Versie 2.0";"Binnen & Buiten";36;81,4953779434893;87,15;65,02;96,12
"Vlaanderen Atlantisch";"3150";"alle";"Versie 2.0";"binnen";32;79,030489262293;89,87;69,76;97,15
"Vlaanderen Atlantisch";"3150";"alle";"Versie 2.0";"buiten";4;2,4648886811963;0;NA;NA
"Vlaanderen Atlantisch";"3150";"alle";"Versie 3";"Binnen & Buiten";36;81,4953779434893;1,51;0,21;10,09
"Vlaanderen Atlantisch";"3150";"alle";"Versie 3";"binnen";32;79,030489262293;1,56;0,21;10,49
"Vlaanderen Atlantisch";"3150";"alle";"Versie 3";"buiten";4;2,4648886811963;0;NA;NA
"Vlaanderen Atlantisch";"3140";"alle";"Versie 2.0";"Binnen & Buiten";18;54,6849158084344;18,04;3,08;60,41
"Vlaanderen Atlantisch";"3140";"alle";"Versie 2.0";"binnen";17;16,9170674790997;58,3;26,32;84,55
"Vlaanderen Atlantisch";"3140";"alle";"Versie 2.0";"buiten";1;37,7678483293347;0;NA;NA
"Vlaanderen Atlantisch";"3140";"alle";"Versie 3";"Binnen & Buiten";18;54,6849158084344;0;0;0
"Vlaanderen Atlantisch";"3140";"alle";"Versie 3";"binnen";17;16,9170674790997;0;0;0
"Vlaanderen Atlantisch";"3140";"alle";"Versie 3";"buiten";1;37,7678483293347;0;NA;NA
"Vlaanderen Atlantisch";"3160";"alle";"Versie 2.0";"Binnen & Buiten";44;159,574365467795;31,67;14,06;56,77
"Vlaanderen Atlantisch";"3160";"alle";"Versie 2.0";"binnen";42;156,58727849435;32,28;14,19;57,88
"Vlaanderen Atlantisch";"3160";"alle";"Versie 2.0";"buiten";2;2,98708697344517;0;NA;NA
"Vlaanderen Atlantisch";"3160";"alle";"Versie 3";"Binnen & Buiten";44;159,574365467795;0,58;0,07;4,41
"Vlaanderen Atlantisch";"3160";"alle";"Versie 3";"binnen";42;156,58727849435;0,59;0,07;4,5
"Vlaanderen Atlantisch";"3160";"alle";"Versie 3";"buiten";2;2,98708697344517;0;NA;NA
"Vlaanderen Atlantisch";"3110";"alle";"Versie 2.0";"Binnen & Buiten";2;16,4261705141;51,7;NA;NA
"Vlaanderen Atlantisch";"3110";"alle";"Versie 3";"Binnen & Buiten";2;16,4261705141;0;NA;NA
