"ID";"Habitattype";"Habitatsubtype";"Versie";"OppKl";"Oppervlakte_plas";"SBZH";"Regio";"nGunstig";"nIndicatoren";"n_zb_Ongunstig";"AandeelGunstig";"Status_habitatvlek"
"AN_ABH_007_3130a_18";"3130";"3130_aom";"Versie 2.0";"1 ha < Opp <= 5 ha";39479,726685;"binnen";"Atlantisch";7;8;1;87,5;0
"AN_ABH_007_3130a_18";"3130";"3130_aom";"Versie 3";"1 ha < Opp <= 5 ha";39479,726685;"binnen";"Atlantisch";3;6;2;50;0
"AN_ARE_001_3130a_18";"3130";"3130_aom";"Versie 2.0";"5 ha < Opp < 50 ha";110470,597782;"binnen";"Atlantisch";6;8;1;75;0
"AN_ARE_001_3130a_18";"3130";"3130_aom";"Versie 3";"5 ha < Opp < 50 ha";110470,597782;"binnen";"Atlantisch";5;6;1;83,3333333333333;0
"AN_ARE_001_3130n_18";"3130";"3130_na";"Versie 2.0";"5 ha < Opp < 50 ha";110470,597782;"binnen";"Atlantisch";5;7;1;71,4285714285714;0
"AN_ARE_001_3130n_18";"3130";"3130_na";"Versie 3";"5 ha < Opp < 50 ha";110470,597782;"binnen";"Atlantisch";3;6;2;50;0
"AN_BAS_001_3150_17";"3150";"3150";"Versie 2.0";"1 ha < Opp <= 5 ha";25126,518047;"binnen";"Atlantisch";4;5;0;80;1
"AN_BAS_001_3150_17";"3150";"3150";"Versie 3";"1 ha < Opp <= 5 ha";25126,518047;"binnen";"Atlantisch";4;5;1;80;0
"AN_BEE_001_3130a_16";"3130";"3130_aom";"Versie 2.0";"Opp <= 1 ha";6431,654903;"binnen";"Atlantisch";4;8;3;50;0
"AN_BEE_001_3130a_16";"3130";"3130_aom";"Versie 3";"Opp <= 1 ha";6431,654903;"binnen";"Atlantisch";0;6;5;0;0
"AN_BEE_001_3130n_16";"3130";"3130_na";"Versie 2.0";"Opp <= 1 ha";6431,654903;"binnen";"Atlantisch";4;7;2;57,1428571428571;0
"AN_BEE_001_3130n_16";"3130";"3130_na";"Versie 3";"Opp <= 1 ha";6431,654903;"binnen";"Atlantisch";2;6;3;33,3333333333333;0
"AN_BEE_002_3130a_16";"3130";"3130_aom";"Versie 2.0";"Opp <= 1 ha";629,578564;"binnen";"Atlantisch";5;8;2;62,5;0
