"ID";"Habitattype";"Habitatsubtype";"Versie";"OppKl";"Oppervlakte_plas";"SBZH";"Regio";"nGunstig";"nIndicatoren";"n_zb_Ongunstig";"AandeelGunstig";"Status_habitatvlek"
"AN_HAZ_001_3140_14";"3140";"3140";"Versie 2.0";"> 50 ha";665511,465029;"buiten";"Atlantisch";3;5;1;60;0
"AN_HAZ_001_3140_14";"3140";"3140";"Versie 3";"> 50 ha";665511,465029;"buiten";"Atlantisch";3;5;2;60;0
"AN_MOL_001_3130n_14";"3130";"3130_na";"Versie 2.0";"> 50 ha";1366822,132057;"buiten";"Atlantisch";5;7;1;71,4285714285714;0
"AN_MOL_001_3130n_14";"3130";"3130_na";"Versie 3";"> 50 ha";1366822,132057;"buiten";"Atlantisch";4;6;1;66,6666666666667;0
"AN_MOL_001_3140_14";"3140";"3140";"Versie 2.0";"> 50 ha";1366822,132057;"buiten";"Atlantisch";4;5;1;80;0
"AN_MOL_001_3140_14";"3140";"3140";"Versie 3";"> 50 ha";1366822,132057;"buiten";"Atlantisch";4;5;1;80;0
"AN_MOL_001_3150_14";"3150";"3150";"Versie 2.0";"> 50 ha";1366822,132057;"buiten";"Atlantisch";2;5;2;40;0
"AN_MOL_001_3150_14";"3150";"3150";"Versie 3";"> 50 ha";1366822,132057;"buiten";"Atlantisch";2;5;2;40;0
"AN_MOL_002_3150_14";"3150";"3150";"Versie 2.0";"> 50 ha";883809,182934;"buiten";"Atlantisch";3;5;1;60;0
"AN_MOL_002_3150_14";"3150";"3150";"Versie 3";"> 50 ha";883809,182934;"buiten";"Atlantisch";2;5;2;40;0
