"Versie";"Habitattype";"Habitatsubtype";"Indicator";"SBZH";"nObs";"sumWeights";"AandeelGunstig";"AandeelGunstig_LLCI";"AandeelGunstig_ULCI"
"Versie 2.0";"3130";"alle";"doorzicht";"Binnen & Buiten";93;335,735089462032;70,49;51,3;84,41
"Versie 2.0";"3130";"alle";"doorzicht";"binnen";87;276,587367998888;65,44;46,2;80,68
"Versie 2.0";"3130";"alle";"doorzicht";"buiten";6;59,147721463144;94,12;56,62;99,49
"Versie 2.0";"3130";"alle";"horizontale structuur";"Binnen & Buiten";149;649,57783217834;80,34;70,18;87,65
"Versie 2.0";"3130";"alle";"horizontale structuur";"binnen";141;538,651704872405;78,13;67,55;85,98
"Versie 2.0";"3130";"alle";"horizontale structuur";"buiten";8;110,926127305935;91,07;50,72;99,02
"Versie 2.0";"3130";"3130_aom";"horizontale structuur";"Binnen & Buiten";93;335,735089462032;76,86;60,86;87,65
"Versie 2.0";"3130";"3130_na";"horizontale structuur";"Binnen & Buiten";56;313,842742716309;84,07;70,7;92,03
"Versie 2.0";"3130";"alle";"oeverzone ZW-zijde";"Binnen & Buiten";93;335,735089462032;53,63;34,22;72
"Versie 2.0";"3130";"alle";"oeverzone ZW-zijde";"binnen";87;276,587367998888;63,72;44,54;79,35
"Versie 2.0";"3130";"alle";"oeverzone ZW-zijde";"buiten";6;59,147721463144;6,43;0,63;42,76
"Versie 2.0";"3130";"alle";"sleutelsoorten";"Binnen & Buiten";149;649,57783217834;23,99;14,81;36,42
"Versie 2.0";"3130";"alle";"sleutelsoorten";"binnen";141;538,651704872405;27,47;17,38;40,56
"Versie 2.0";"3130";"alle";"sleutelsoorten";"buiten";8;110,926127305935;7,06;0,81;41,56
"Versie 2.0";"3130";"3130_aom";"sleutelsoorten";"Binnen & Buiten";93;335,735089462032;43,35;26,56;61,82
"Versie 2.0";"3130";"3130_na";"sleutelsoorten";"Binnen & Buiten";56;313,842742716309;3,28;0,45;20,25
"Versie 2.0";"3130";"alle";"eutrofiëring";"Binnen & Buiten";149;649,57783217834;71,22;60,02;80,3
"Versie 2.0";"3130";"alle";"eutrofiëring";"binnen";141;538,651704872405;66,22;54,68;76,1
"Versie 2.0";"3130";"alle";"eutrofiëring";"buiten";8;110,926127305935;95,47;69,15;99,5
"Versie 2.0";"3130";"3130_aom";"eutrofiëring";"Binnen & Buiten";93;335,735089462032;62,67;45,8;76,93
"Versie 2.0";"3130";"3130_na";"eutrofiëring";"Binnen & Buiten";56;313,842742716309;80,36;65,13;89,96
