"IDPlots";"Habitattype";"Gebied";"SBZH";"Regio";"ID";"Date";"HabCode";"Jaar";"nOpnamesPlot";"OpnameNr";"RecentsteOpname";"DatasetToestand";"DatasetTrend";"PlotWeightToestand";"StratumWeightToestand";"WeightCombToestand";"PlotWeightTrend";"StratumWeightTrend";"WeightCombTrend"
"zw_31";"2190_mp";"Zwinduinen";"Binnen";"Atlantic";"IV2017100113001587";2009-07-29;"2190";2009;3;1;FALSE;FALSE;TRUE;1;1,41470588235294;1,41470588235294;1;1,924;1,924
"zw_31";"2190_mp";"Zwinduinen";"Binnen";"Atlantic";"IV2017100113001588";2012-07-10;"2190";2012;3;2;FALSE;FALSE;TRUE;1;1,41470588235294;1,41470588235294;1;1,924;1,924
"zw_31";"2190_mp";"Zwinduinen";"Binnen";"Atlantic";"IV2017100113001589";2015-07-27;"2190";2015;3;3;TRUE;TRUE;TRUE;1;1,41470588235294;1,41470588235294;1;1,924;1,924
"zw_23";"2130_hd";"Zwinduinen";"Binnen";"Atlantic";"IV2017100113001573";2013-06-18;"2130_hd";2013;2;1;FALSE;FALSE;TRUE;1;3,91446540880503;3,91446540880503;1;6,16237623762376;6,16237623762376
"zw_23";"2130_hd";"Zwinduinen";"Binnen";"Atlantic";"IV2017112814011920";2016-12-31;"2130_hd";2016;2;2;TRUE;TRUE;TRUE;1;3,91446540880503;3,91446540880503;1;6,16237623762376;6,16237623762376
"zw_09";"2190_mp";"Zwinduinen";"Binnen";"Atlantic";"IV2017100113001551";2014-06-10;"2190";2014;1;1;TRUE;TRUE;FALSE;1;1,41470588235294;1,41470588235294;1;1,924;1,924
"sa_01";"2160";"Eglantierstraat";"Binnen";"Atlantic";"IV2017100113000618";2012-07-26;"2160";2012;1;1;TRUE;TRUE;FALSE;1;15,1268292682927;15,1268292682927;1;19,38125;19,38125
"ty_21";"2130_hd";"Ter Yde";"Binnen";"Atlantic";"IV2017100113000682";2013-07-16;"2130_hd";2013;1;1;TRUE;TRUE;FALSE;1;3,91446540880503;3,91446540880503;1;6,16237623762376;6,16237623762376
"pd_01";"2130_hd";"Plaatsduinen";"Binnen";"Atlantic";"IV2017100113000614";2013-05-29;"2130_hd";2013;1;1;TRUE;TRUE;FALSE;1;3,91446540880503;3,91446540880503;1;6,16237623762376;6,16237623762376
"pd_04";"2160";"Plaatsduinen";"Binnen";"Atlantic";"IV2017100113000617";2014-06-15;"2160";2014;1;1;TRUE;TRUE;FALSE;1;15,1268292682927;15,1268292682927;1;19,38125;19,38125
"zw_07";"2190_mp";"Zwinduinen";"Binnen";"Atlantic";"IV2017100113001546";2007-07-09;"2190_mp";2007;3;1;FALSE;FALSE;TRUE;1;0,168181818181818;0,168181818181818;1;0,2;0,2
"zw_07";"2190_mp";"Zwinduinen";"Binnen";"Atlantic";"IV2017100113001547";2013-08-21;"2190_mp";2013;3;2;FALSE;FALSE;TRUE;1;0,168181818181818;0,168181818181818;1;0,2;0,2
"zw_07";"2190_mp";"Zwinduinen";"Binnen";"Atlantic";"IV2017112113120661";2017-12-31;"2190_mp";2017;3;3;TRUE;TRUE;TRUE;1;0,168181818181818;0,168181818181818;1;0,2;0,2
"zw_02";"2190_mp";"Groenpleinduinen";"Binnen";"Atlantic";"IV2017100113001536";2009-07-09;"2190_mp";2009;3;1;FALSE;FALSE;TRUE;1;0,168181818181818;0,168181818181818;1;0,2;0,2
"zw_02";"2190_mp";"Groenpleinduinen";"Binnen";"Atlantic";"IV2017100113001537";2012-07-20;"2190_mp";2012;3;2;FALSE;FALSE;TRUE;1;0,168181818181818;0,168181818181818;1;0,2;0,2
"zw_02";"2190_mp";"Groenpleinduinen";"Binnen";"Atlantic";"IV2017100113001538";2015-07-31;"2190_mp";2015;3;3;TRUE;TRUE;TRUE;1;0,168181818181818;0,168181818181818;1;0,2;0,2
"zw_08";"2190_mp";"Zwinduinen";"Binnen";"Atlantic";"IV2017100113001548";2007-08-01;"2190_mp";2007;3;1;FALSE;FALSE;TRUE;1;0,168181818181818;0,168181818181818;1;0,2;0,2
"zw_08";"2190_mp";"Zwinduinen";"Binnen";"Atlantic";"IV2017100113001549";2012-07-10;"2190_mp";2012;3;2;FALSE;FALSE;TRUE;1;0,168181818181818;0,168181818181818;1;0,2;0,2
"zw_08";"2190_mp";"Zwinduinen";"Binnen";"Atlantic";"IV2017100113001550";2015-07-27;"2190_mp";2015;3;3;TRUE;TRUE;TRUE;1;0,168181818181818;0,168181818181818;1;0,2;0,2
"zw_25";"2130_hd";"Zwinduinen";"Binnen";"Atlantic";"IV2017100113001576";2007-07-07;"2130_hd";2007;3;1;FALSE;FALSE;TRUE;1;3,91446540880503;3,91446540880503;1;6,16237623762376;6,16237623762376
"zw_25";"2130_hd";"Zwinduinen";"Binnen";"Atlantic";"IV2017100113001577";2013-07-08;"2130_hd";2013;3;2;FALSE;FALSE;TRUE;1;3,91446540880503;3,91446540880503;1;6,16237623762376;6,16237623762376
"zw_25";"2130_hd";"Zwinduinen";"Binnen";"Atlantic";"IV2017112814410714";2016-12-31;"2130_hd";2016;3;3;TRUE;TRUE;TRUE;1;3,91446540880503;3,91446540880503;1;6,16237623762376;6,16237623762376
"zw_27";"2160";"Zwinduinen";"Binnen";"Atlantic";"IV2017100113001580";2009-08-18;"2160";2009;2;1;FALSE;FALSE;TRUE;1;15,1268292682927;15,1268292682927;1;19,38125;19,38125
"zw_27";"2160";"Zwinduinen";"Binnen";"Atlantic";"IV2017100113001581";2012-07-20;"2160";2012;2;2;TRUE;TRUE;TRUE;1;15,1268292682927;15,1268292682927;1;19,38125;19,38125
"zw_24";"2130_hd";"Zwinduinen";"Binnen";"Atlantic";"IV2017100113001574";2012-07-30;"2130_hd";2012;2;1;FALSE;FALSE;TRUE;1;3,91446540880503;3,91446540880503;1;6,16237623762376;6,16237623762376
"zw_24";"2130_hd";"Zwinduinen";"Binnen";"Atlantic";"IV2017100113001575";2015-07-31;"2130_hd";2015;2;2;TRUE;TRUE;TRUE;1;3,91446540880503;3,91446540880503;1;6,16237623762376;6,16237623762376
"zw_06";"2190_mp";"Zwinduinen";"Binnen";"Atlantic";"IV2017100113001544";2008-09-15;"2190_mp";2008;3;1;FALSE;FALSE;TRUE;1;0,168181818181818;0,168181818181818;1;0,2;0,2
"zw_06";"2190_mp";"Zwinduinen";"Binnen";"Atlantic";"IV2017100113001545";2013-07-15;"2190_mp";2013;3;2;FALSE;FALSE;TRUE;1;0,168181818181818;0,168181818181818;1;0,2;0,2
"zw_06";"2190_mp";"Zwinduinen";"Binnen";"Atlantic";"IV2017112111244764";2017-12-31;"2190_mp";2017;3;3;TRUE;TRUE;TRUE;1;0,168181818181818;0,168181818181818;1;0,2;0,2
"zw_01";"2160";"Groenpleinduinen";"Binnen";"Atlantic";"IV2017100113001534";2009-07-09;"2160";2009;2;1;FALSE;FALSE;TRUE;1;15,1268292682927;15,1268292682927;1;19,38125;19,38125
"zw_01";"2160";"Groenpleinduinen";"Binnen";"Atlantic";"IV2017100113001535";2013-09-02;"2160";2013;2;2;TRUE;TRUE;TRUE;1;15,1268292682927;15,1268292682927;1;19,38125;19,38125
