"Meetnet";"ID";"IDPlots";"Jaar";"Habitattype";"Habitatsubtype";"Versie";"SBZH";"DatasetToestand";"PlotWeightToestand";"StratumWeightToestand";"WeightCombToestand";"DatasetTrend";"PlotWeightTrend";"StratumWeightTrend";"WeightCombTrend";"nGunstig";"nIndicatoren";"n_zb_Ongunstig";"AandeelGunstig";"Status_habitatvlek";"Index";"Index_zb"
"PINK";"IV2017100113000004";"bd_05";2012;2130;"2130_hd";"Versie 2.0";"Binnen";TRUE;1;3,91446540880503;3,91446540880503;FALSE;1;6,16237623762376;6,16237623762376;4;8;0;50;0;0,208;0,933
"PINK";"IV2017100113000004";"bd_05";2012;2130;"2130_hd";"Versie 3";"Binnen";TRUE;1;3,91446540880503;3,91446540880503;FALSE;1;6,16237623762376;6,16237623762376;6;9;0;66,6666666666667;1;0,287;0,622
"PINK";"IV2017100113000006";"bd_07";2012;2130;"2130_hd";"Versie 2.0";"Binnen";TRUE;1;3,91446540880503;3,91446540880503;FALSE;1;6,16237623762376;6,16237623762376;4;8;0;50;0;0,087;0,967
"PINK";"IV2017100113000006";"bd_07";2012;2130;"2130_hd";"Versie 3";"Binnen";TRUE;1;3,91446540880503;3,91446540880503;FALSE;1;6,16237623762376;6,16237623762376;6;9;0;66,6666666666667;1;0,219;0,644
"PINK";"IV2017100113000007";"bd_08";2014;2190;"2190";"Versie 2.0";"Binnen";FALSE;1;1,41470588235294;1,41470588235294;TRUE;1;1,924;1,924;0;5;2;0;0;-0,566;-0,093
"PINK";"IV2017100113000007";"bd_08";2014;2190;"2190";"Versie 3";"Binnen";FALSE;1;1,41470588235294;1,41470588235294;TRUE;1;1,924;1,924;1;5;2;20;0;-0,473;-0,215
"PINK";"IV2017100113000010";"bd_11";2012;2130;"2130_hd";"Versie 2.0";"Binnen";TRUE;1;3,91446540880503;3,91446540880503;FALSE;1;6,16237623762376;6,16237623762376;4;8;0;50;0;0,012;0,667
"PINK";"IV2017100113000010";"bd_11";2012;2130;"2130_hd";"Versie 3";"Binnen";TRUE;1;3,91446540880503;3,91446540880503;FALSE;1;6,16237623762376;6,16237623762376;6;9;0;66,6666666666667;1;0,196;0,444
"PINK";"IV2017100113000012";"bd_13";2012;2160;"2160";"Versie 2.0";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;FALSE;1;19,38125;19,38125;4;5;0;80;1;0,679;1
"PINK";"IV2017100113000012";"bd_13";2012;2160;"2160";"Versie 3";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;FALSE;1;19,38125;19,38125;3;4;0;75;1;0,55;1
