"Meetnet";"ID";"IDPlots";"Jaar";"Habitattype";"Habitatsubtype";"HabCode";"Versie";"Criterium";"Indicator";"Belang";"Voorwaarde";"Waarde";"AfkomstWaarde";"Operator";"Referentiewaarde";"Status_voorwaarde";"Verschilscore";"VoorwaardeID";"Combinatie";"SBZH";"Regio"
"PINK";"IV2017100113000012";"bd_13";2012;"2160";"2160";"2160";"Versie 2.0";"Vegetatie";"bedekking sleutelsoorten";"b";"bedekking sleutelsoorten";"d";"berekend";">=";"f";TRUE;0,796583783783784;1136;"1136";"Binnen";"Atlantic"
"PINK";"IV2017100113000012";"bd_13";2012;"2160";"2160";"2160";"Versie 2.0";"Vegetatie";"sleutelsoorten";"b";"aantal sleutelsoorten";"3";"berekend";">=";"5";FALSE;-0,4;313;"313";"Binnen";"Atlantic"
"PINK";"IV2017100113000012";"bd_13";2012;"2160";"2160";"2160";"Versie 2.0";"Verstoring";"invasieve exoten";"zb";"bedekking invasieve exoten";"0";"berekend";"<";"10";TRUE;1;880;"880";"Binnen";"Atlantic"
"PINK";"IV2017100113000012";"bd_13";2012;"2160";"2160";"2160";"Versie 2.0";"Verstoring";"overige exoten";"b";"bedekking overige exoten";"0";"berekend";"<=";"10";TRUE;1;1027;"1027";"Binnen";"Atlantic"
"PINK";"IV2017100113000012";"bd_13";2012;"2160";"2160";"2160";"Versie 2.0";"Verstoring";"verbossing";"b";"bedekking boomlaag";"0";"berekend";"<=";"30";TRUE;1;671;"671";"Binnen";"Atlantic"
"PINK";"IV2017100113000012";"bd_13";2012;"2160";"2160";"2160";"Versie 3";"Vegetatie";"sleutelsoorten";"b";"aantal sleutelsoorten";"1";"berekend";">=";"5";FALSE;-0,8;315;"315";"Binnen";"Atlantic"
"PINK";"IV2017100113000012";"bd_13";2012;"2160";"2160";"2160";"Versie 3";"Verstoring";"invasieve exoten";"zb";"bedekking invasieve exoten";"Afwezig";"berekend";"<=";"WT";TRUE;1;878;"878";"Binnen";"Atlantic"
"PINK";"IV2017100113000012";"bd_13";2012;"2160";"2160";"2160";"Versie 3";"Verstoring";"overige exoten";"b";"bedekking overige exoten";"0";"berekend";"<=";"10";TRUE;1;1031;"1031";"Binnen";"Atlantic"
"PINK";"IV2017100113000012";"bd_13";2012;"2160";"2160";"2160";"Versie 3";"Verstoring";"verbossing";"b";"bedekking boomlaag";"0";"berekend";"<=";"10";TRUE;1;669;"669";"Binnen";"Atlantic"
"PINK";"IV2017100113000075";"dh_08";2013;"2160";"2160";"2160";"Versie 2.0";"Vegetatie";"bedekking sleutelsoorten";"b";"bedekking sleutelsoorten";"f";"berekend";">=";"f";TRUE;0,00464864864864868;1136;"1136";"Binnen";"Atlantic"
"PINK";"IV2017100113000075";"dh_08";2013;"2160";"2160";"2160";"Versie 2.0";"Vegetatie";"sleutelsoorten";"b";"aantal sleutelsoorten";"2";"berekend";">=";"5";FALSE;-0,6;313;"313";"Binnen";"Atlantic"
"PINK";"IV2017100113000075";"dh_08";2013;"2160";"2160";"2160";"Versie 2.0";"Verstoring";"invasieve exoten";"zb";"bedekking invasieve exoten";"1";"berekend";"<";"10";TRUE;0,9;880;"880";"Binnen";"Atlantic"
"PINK";"IV2017100113000075";"dh_08";2013;"2160";"2160";"2160";"Versie 2.0";"Verstoring";"overige exoten";"b";"bedekking overige exoten";"4";"berekend";"<=";"10";TRUE;0,6;1027;"1027";"Binnen";"Atlantic"
"PINK";"IV2017100113000075";"dh_08";2013;"2160";"2160";"2160";"Versie 2.0";"Verstoring";"verbossing";"b";"bedekking boomlaag";"0";"observatie";"<=";"30";TRUE;1;671;"671";"Binnen";"Atlantic"
"PINK";"IV2017100113000075";"dh_08";2013;"2160";"2160";"2160";"Versie 3";"Vegetatie";"sleutelsoorten";"b";"aantal sleutelsoorten";"2";"berekend";">=";"5";FALSE;-0,6;315;"315";"Binnen";"Atlantic"
"PINK";"IV2017100113000075";"dh_08";2013;"2160";"2160";"2160";"Versie 3";"Verstoring";"invasieve exoten";"zb";"bedekking invasieve exoten";"s";"berekend";"<=";"WT";TRUE;0,459459459459459;878;"878";"Binnen";"Atlantic"
"PINK";"IV2017100113000075";"dh_08";2013;"2160";"2160";"2160";"Versie 3";"Verstoring";"overige exoten";"b";"bedekking overige exoten";"4";"berekend";"<=";"10";TRUE;0,6;1031;"1031";"Binnen";"Atlantic"
"PINK";"IV2017100113000075";"dh_08";2013;"2160";"2160";"2160";"Versie 3";"Verstoring";"verbossing";"b";"bedekking boomlaag";"0";"observatie";"<=";"10";TRUE;1;669;"669";"Binnen";"Atlantic"
"PINK";"IV2017100113000077";"dh_09";2013;"2160";"2160";"2160";"Versie 2.0";"Vegetatie";"bedekking sleutelsoorten";"b";"bedekking sleutelsoorten";"d";"berekend";">=";"f";TRUE;0,625391157967568;1136;"1136";"Binnen";"Atlantic"
"PINK";"IV2017100113000077";"dh_09";2013;"2160";"2160";"2160";"Versie 2.0";"Vegetatie";"sleutelsoorten";"b";"aantal sleutelsoorten";"6";"berekend";">=";"5";TRUE;0,0434782608695652;313;"313";"Binnen";"Atlantic"
"PINK";"IV2017100113000077";"dh_09";2013;"2160";"2160";"2160";"Versie 2.0";"Verstoring";"invasieve exoten";"zb";"bedekking invasieve exoten";"12,88";"berekend";"<";"10";FALSE;-0,032;880;"880";"Binnen";"Atlantic"
"PINK";"IV2017100113000077";"dh_09";2013;"2160";"2160";"2160";"Versie 2.0";"Verstoring";"overige exoten";"b";"bedekking overige exoten";"0";"berekend";"<=";"10";TRUE;1;1027;"1027";"Binnen";"Atlantic"
"PINK";"IV2017100113000077";"dh_09";2013;"2160";"2160";"2160";"Versie 2.0";"Verstoring";"verbossing";"b";"bedekking boomlaag";"0";"observatie";"<=";"30";TRUE;1;671;"671";"Binnen";"Atlantic"
"PINK";"IV2017100113000077";"dh_09";2013;"2160";"2160";"2160";"Versie 3";"Vegetatie";"sleutelsoorten";"b";"aantal sleutelsoorten";"3";"berekend";">=";"5";FALSE;-0,4;315;"315";"Binnen";"Atlantic"
"PINK";"IV2017100113000077";"dh_09";2013;"2160";"2160";"2160";"Versie 3";"Verstoring";"invasieve exoten";"zb";"bedekking invasieve exoten";"b";"berekend";"<=";"WT";FALSE;-0,11237901171676;878;"878";"Binnen";"Atlantic"
"PINK";"IV2017100113000077";"dh_09";2013;"2160";"2160";"2160";"Versie 3";"Verstoring";"overige exoten";"b";"bedekking overige exoten";"0";"berekend";"<=";"10";TRUE;1;1031;"1031";"Binnen";"Atlantic"
"PINK";"IV2017100113000077";"dh_09";2013;"2160";"2160";"2160";"Versie 3";"Verstoring";"verbossing";"b";"bedekking boomlaag";"0";"observatie";"<=";"10";TRUE;1;669;"669";"Binnen";"Atlantic"
"PINK";"IV2017100113000095";"dp_01";2014;"2160";"2160";"2160";"Versie 2.0";"Vegetatie";"bedekking sleutelsoorten";"b";"bedekking sleutelsoorten";"d";"berekend";">=";"f";TRUE;0,472570810810811;1136;"1136";"Binnen";"Atlantic"
"PINK";"IV2017100113000095";"dp_01";2014;"2160";"2160";"2160";"Versie 2.0";"Vegetatie";"sleutelsoorten";"b";"aantal sleutelsoorten";"4";"berekend";">=";"5";FALSE;-0,2;313;"313";"Binnen";"Atlantic"
"PINK";"IV2017100113000095";"dp_01";2014;"2160";"2160";"2160";"Versie 2.0";"Verstoring";"invasieve exoten";"zb";"bedekking invasieve exoten";"0";"berekend";"<";"10";TRUE;1;880;"880";"Binnen";"Atlantic"
"PINK";"IV2017100113000095";"dp_01";2014;"2160";"2160";"2160";"Versie 2.0";"Verstoring";"overige exoten";"b";"bedekking overige exoten";"4";"berekend";"<=";"10";TRUE;0,6;1027;"1027";"Binnen";"Atlantic"
"PINK";"IV2017100113000095";"dp_01";2014;"2160";"2160";"2160";"Versie 2.0";"Verstoring";"verbossing";"b";"bedekking boomlaag";"0";"berekend";"<=";"30";TRUE;1;671;"671";"Binnen";"Atlantic"
"PINK";"IV2017100113000095";"dp_01";2014;"2160";"2160";"2160";"Versie 3";"Vegetatie";"sleutelsoorten";"b";"aantal sleutelsoorten";"4";"berekend";">=";"5";FALSE;-0,2;315;"315";"Binnen";"Atlantic"
"PINK";"IV2017100113000095";"dp_01";2014;"2160";"2160";"2160";"Versie 3";"Verstoring";"invasieve exoten";"zb";"bedekking invasieve exoten";"Afwezig";"berekend";"<=";"WT";TRUE;1;878;"878";"Binnen";"Atlantic"
"PINK";"IV2017100113000095";"dp_01";2014;"2160";"2160";"2160";"Versie 3";"Verstoring";"overige exoten";"b";"bedekking overige exoten";"4";"berekend";"<=";"10";TRUE;0,6;1031;"1031";"Binnen";"Atlantic"
"PINK";"IV2017100113000095";"dp_01";2014;"2160";"2160";"2160";"Versie 3";"Verstoring";"verbossing";"b";"bedekking boomlaag";"0";"berekend";"<=";"10";TRUE;1;669;"669";"Binnen";"Atlantic"
"PINK";"IV2017100113000100";"dp_09";2012;"2160";"2160";"2160";"Versie 2.0";"Vegetatie";"bedekking sleutelsoorten";"b";"bedekking sleutelsoorten";"a";"berekend";">=";"f";TRUE;0,120696374500324;1136;"1136";"Binnen";"Atlantic"
"PINK";"IV2017100113000100";"dp_09";2012;"2160";"2160";"2160";"Versie 2.0";"Vegetatie";"sleutelsoorten";"b";"aantal sleutelsoorten";"7";"berekend";">=";"5";TRUE;0,0869565217391304;313;"313";"Binnen";"Atlantic"
"PINK";"IV2017100113000100";"dp_09";2012;"2160";"2160";"2160";"Versie 2.0";"Verstoring";"invasieve exoten";"zb";"bedekking invasieve exoten";"0";"berekend";"<";"10";TRUE;1;880;"880";"Binnen";"Atlantic"
"PINK";"IV2017100113000100";"dp_09";2012;"2160";"2160";"2160";"Versie 2.0";"Verstoring";"overige exoten";"b";"bedekking overige exoten";"0";"berekend";"<=";"10";TRUE;1;1027;"1027";"Binnen";"Atlantic"
"PINK";"IV2017100113000100";"dp_09";2012;"2160";"2160";"2160";"Versie 2.0";"Verstoring";"verbossing";"b";"bedekking boomlaag";"0";"berekend";"<=";"30";TRUE;1;671;"671";"Binnen";"Atlantic"
"PINK";"IV2017100113000100";"dp_09";2012;"2160";"2160";"2160";"Versie 3";"Vegetatie";"sleutelsoorten";"b";"aantal sleutelsoorten";"1";"berekend";">=";"5";FALSE;-0,8;315;"315";"Binnen";"Atlantic"
"PINK";"IV2017100113000100";"dp_09";2012;"2160";"2160";"2160";"Versie 3";"Verstoring";"invasieve exoten";"zb";"bedekking invasieve exoten";"Afwezig";"berekend";"<=";"WT";TRUE;1;878;"878";"Binnen";"Atlantic"
"PINK";"IV2017100113000100";"dp_09";2012;"2160";"2160";"2160";"Versie 3";"Verstoring";"overige exoten";"b";"bedekking overige exoten";"0";"berekend";"<=";"10";TRUE;1;1031;"1031";"Binnen";"Atlantic"
"PINK";"IV2017100113000100";"dp_09";2012;"2160";"2160";"2160";"Versie 3";"Verstoring";"verbossing";"b";"bedekking boomlaag";"0";"berekend";"<=";"10";TRUE;1;669;"669";"Binnen";"Atlantic"
"PINK";"IV2017100113000226";"hb_01";2014;"2160";"2160";"2160";"Versie 2.0";"Vegetatie";"bedekking sleutelsoorten";"b";"bedekking sleutelsoorten";"d";"berekend";">=";"f";TRUE;0,47027027027027;1136;"1136";"Binnen";"Atlantic"
"PINK";"IV2017100113000226";"hb_01";2014;"2160";"2160";"2160";"Versie 2.0";"Vegetatie";"sleutelsoorten";"b";"aantal sleutelsoorten";"2";"berekend";">=";"5";FALSE;-0,6;313;"313";"Binnen";"Atlantic"
"PINK";"IV2017100113000226";"hb_01";2014;"2160";"2160";"2160";"Versie 2.0";"Verstoring";"invasieve exoten";"zb";"bedekking invasieve exoten";"1";"berekend";"<";"10";TRUE;0,9;880;"880";"Binnen";"Atlantic"
"PINK";"IV2017100113000226";"hb_01";2014;"2160";"2160";"2160";"Versie 2.0";"Verstoring";"overige exoten";"b";"bedekking overige exoten";"0";"berekend";"<=";"10";TRUE;1;1027;"1027";"Binnen";"Atlantic"
"PINK";"IV2017100113000226";"hb_01";2014;"2160";"2160";"2160";"Versie 2.0";"Verstoring";"verbossing";"b";"bedekking boomlaag";"0";"berekend";"<=";"30";TRUE;1;671;"671";"Binnen";"Atlantic"
"PINK";"IV2017100113000226";"hb_01";2014;"2160";"2160";"2160";"Versie 3";"Vegetatie";"sleutelsoorten";"b";"aantal sleutelsoorten";"1";"berekend";">=";"5";FALSE;-0,8;315;"315";"Binnen";"Atlantic"
"PINK";"IV2017100113000226";"hb_01";2014;"2160";"2160";"2160";"Versie 3";"Verstoring";"invasieve exoten";"zb";"bedekking invasieve exoten";"t";"berekend";"<=";"WT";FALSE;-0,031686194600102;878;"878";"Binnen";"Atlantic"
"PINK";"IV2017100113000226";"hb_01";2014;"2160";"2160";"2160";"Versie 3";"Verstoring";"overige exoten";"b";"bedekking overige exoten";"0";"berekend";"<=";"10";TRUE;1;1031;"1031";"Binnen";"Atlantic"
"PINK";"IV2017100113000226";"hb_01";2014;"2160";"2160";"2160";"Versie 3";"Verstoring";"verbossing";"b";"bedekking boomlaag";"0";"berekend";"<=";"10";TRUE;1;669;"669";"Binnen";"Atlantic"
"PINK";"IV2017100113000239";"hs_04";2014;"2160";"2160";"2160";"Versie 2.0";"Vegetatie";"bedekking sleutelsoorten";"b";"bedekking sleutelsoorten";"d";"berekend";">=";"f";TRUE;0,654773621621622;1136;"1136";"Binnen";"Atlantic"
