"Meetnet";"ID";"IDPlots";"Jaar";"Habitattype";"Habitatsubtype";"HabCode";"Versie";"Criterium";"Indicator";"Belang";"Status_indicator";"Verschilscore";"SBZH";"Regio";"DatasetToestand";"PlotWeightToestand";"StratumWeightToestand";"WeightCombToestand";"DatasetTrend";"PlotWeightTrend";"StratumWeightTrend";"WeightCombTrend"
"PINK";"IV2017100113000004";"bd_05";2012;"2130";"2130_hd";"2130_hd";"Versie 2.0";"Vegetatie";"bedekking sleutelsoorten van het droog tot vochtig duingrasland";"b";FALSE;-0,733333333333334;"Binnen";"Atlantic";TRUE;1;3,91446540880503;3,91446540880503;FALSE;1;6,16237623762376;6,16237623762376
"PINK";"IV2017100113000004";"bd_05";2012;"2130";"2130_hd";"2130_hd";"Versie 2.0";"Vegetatie";"bedekking sleutelsoorten van het kalkrijk mosduin en pionierduingrasland";"b";FALSE;-0,473306666666667;"Binnen";"Atlantic";TRUE;1;3,91446540880503;3,91446540880503;FALSE;1;6,16237623762376;6,16237623762376
"PINK";"IV2017100113000004";"bd_05";2012;"2130";"2130_hd";"2130_hd";"Versie 2.0";"Vegetatie";"sleutelsoorten van het droog tot vochtig kalkrijk duingrasland";"b";FALSE;-0,75;"Binnen";"Atlantic";TRUE;1;3,91446540880503;3,91446540880503;FALSE;1;6,16237623762376;6,16237623762376
"PINK";"IV2017100113000004";"bd_05";2012;"2130";"2130_hd";"2130_hd";"Versie 2.0";"Vegetatie";"sleutelsoorten van het kalkrijk mosduin en pionierduingrasland";"b";FALSE;-0,25;"Binnen";"Atlantic";TRUE;1;3,91446540880503;3,91446540880503;FALSE;1;6,16237623762376;6,16237623762376
"PINK";"IV2017100113000004";"bd_05";2012;"2130";"2130_hd";"2130_hd";"Versie 2.0";"Verstoring";"overbetreding";"b";TRUE;1;"Binnen";"Atlantic";TRUE;1;3,91446540880503;3,91446540880503;FALSE;1;6,16237623762376;6,16237623762376
"PINK";"IV2017100113000004";"bd_05";2012;"2130";"2130_hd";"2130_hd";"Versie 2.0";"Verstoring";"verbossing";"b";TRUE;1;"Binnen";"Atlantic";TRUE;1;3,91446540880503;3,91446540880503;FALSE;1;6,16237623762376;6,16237623762376
"PINK";"IV2017100113000004";"bd_05";2012;"2130";"2130_hd";"2130_hd";"Versie 2.0";"Verstoring";"vergrassing/verbraming";"zb";TRUE;0,866666666666667;"Binnen";"Atlantic";TRUE;1;3,91446540880503;3,91446540880503;FALSE;1;6,16237623762376;6,16237623762376
"PINK";"IV2017100113000004";"bd_05";2012;"2130";"2130_hd";"2130_hd";"Versie 2.0";"Verstoring";"verruiging";"zb";TRUE;1;"Binnen";"Atlantic";TRUE;1;3,91446540880503;3,91446540880503;FALSE;1;6,16237623762376;6,16237623762376
"PINK";"IV2017100113000004";"bd_05";2012;"2130";"2130_hd";"2130_hd";"Versie 3";"Vegetatie";"bedekking sleutelsoorten";"b;";FALSE;-0,5367968;"Binnen";"Atlantic";TRUE;1;3,91446540880503;3,91446540880503;FALSE;1;6,16237623762376;6,16237623762376
"PINK";"IV2017100113000004";"bd_05";2012;"2130";"2130_hd";"2130_hd";"Versie 3";"Vegetatie";"sleutelsoorten van het droog tot vochtig kalkrijk duingrasland";"b";FALSE;-1;"Binnen";"Atlantic";TRUE;1;3,91446540880503;3,91446540880503;FALSE;1;6,16237623762376;6,16237623762376
