"ID";"IDPlots";"Waarde";"Type";"Eenheid";"Invoertype";"Indicator";"Voorwaarde";"Criterium"
"IV2017100113000617";"pd_04";"0";"Percentage";"%";NA;"verbossing";"bedekking boomlaag";"Verstoring"
"IV2017100113001581";"zw_27";"0";"Percentage";"%";NA;"verbossing";"bedekking boomlaag";"Verstoring"
"IV2017100113001535";"zw_01";"36.1303060217177";"Percentage";"%";NA;"verbossing";"bedekking boomlaag";"Verstoring"
"IV2017100113001543";"zw_05";"0.789733464955577";"Percentage";"%";NA;"verbossing";"bedekking boomlaag";"Verstoring"
"IV2017100113000653";"ty_07";"0";"Percentage";"%";NA;"verbossing";"bedekking boomlaag";"Verstoring"
"IV2017100113000655";"ty_08";"0";"Percentage";"%";NA;"verbossing";"bedekking boomlaag";"Verstoring"
"IV2017100113000075";"dh_08";"0";"Percentage";"%";NA;"verbossing";"bedekking boomlaag";"Verstoring"
"IV2017100113000077";"dh_09";"0";"Percentage";"%";NA;"verbossing";"bedekking boomlaag";"Verstoring"
"IV2017100113000492";"ka_01";"10.01100110011";"Percentage";"%";NA;"verbossing";"bedekking boomlaag";"Verstoring"
"IV2017100113001527";"zb_02";"0";"Percentage";"%";NA;"verbossing";"bedekking boomlaag";"Verstoring"
"IV2017100113000247";"hs_05";"2.17176702862784";"Percentage";"%";NA;"verbossing";"bedekking boomlaag";"Verstoring"
"IV2017100113000581";"oh_08";"0.197433366238894";"Percentage";"%";NA;"verbossing";"bedekking boomlaag";"Verstoring"
"IV2017100113000781";"wn_25";"0";"Percentage";"%";NA;"verbossing";"bedekking boomlaag";"Verstoring"
"IV2017100113000788";"wn_29";"0";"Percentage";"%";NA;"verbossing";"bedekking boomlaag";"Verstoring"
"IV2017100113000631";"sd_02";"12.0553359683794";"Percentage";"%";NA;"verbossing";"bedekking boomlaag";"Verstoring"
"IV2017100113001010";"wo_03";"0";"Percentage";"%";NA;"verbossing";"bedekking boomlaag";"Verstoring"
"IV2017100113001140";"wz_24";"5.33070088845015";"Percentage";"%";NA;"verbossing";"bedekking boomlaag";"Verstoring"
"IV2017100113001122";"wz_18";"0";"Percentage";"%";NA;"verbossing";"bedekking boomlaag";"Verstoring"
"IV2017100113001059";"wz_04";"0";"Percentage";"%";NA;"verbossing";"bedekking boomlaag";"Verstoring"
"IV2017100113001068";"wz_05";"0";"Percentage";"%";NA;"verbossing";"bedekking boomlaag";"Verstoring"
"IV2017100113001135";"wz_21";"0";"Percentage";"%";NA;"verbossing";"bedekking boomlaag";"Verstoring"
"IV2017100113001561";"zw_15";"0";"Percentage";"%";NA;"verbossing";"bedekking boomlaag";"Verstoring"
"IV2017100113001563";"zw_16";"0";"Percentage";"%";NA;"verbossing";"bedekking boomlaag";"Verstoring"
"IV2017100113000642";"ty_01";"12.8458498023715";"Percentage";"%";NA;"verbossing";"bedekking boomlaag";"Verstoring"
"IV2017100113000574";"oh_04";"72.5838264299803";"Percentage";"%";NA;"verbossing";"bedekking boomlaag";"Verstoring"
"IV2017100113000579";"oh_07";"12.142152023692";"Percentage";"%";NA;"verbossing";"bedekking boomlaag";"Verstoring"
"IV2017100113000267";"hs_12";"0";"Percentage";"%";NA;"verbossing";"bedekking boomlaag";"Verstoring"
"IV2017100113000239";"hs_04";"0";"Percentage";"%";NA;"verbossing";"bedekking boomlaag";"Verstoring"
"IV2017100113000269";"hs_13";"0";"Percentage";"%";NA;"verbossing";"bedekking boomlaag";"Verstoring"
"IV2017100113000639";"sl_01";"0";"Percentage";"%";NA;"verbossing";"bedekking boomlaag";"Verstoring"
"IV2017100113000500";"kd_07";"26.5810276679842";"Percentage";"%";NA;"verbossing";"bedekking boomlaag";"Verstoring"
