"Meetnet";"ID";"Habitattype";"Habitatsubtype";"Versie";"Regio";"PolygonWeight";"nGunstig";"nIndicatoren";"n_zb_Ongunstig";"AandeelGunstig";"Status_habitatvlek"
"PINK";"Polygoon0";"2110";"2110";"Versie 2.0";"Atlantic";198;2;4;0;50;0
"PINK";"Polygoon0";"2110";"2110";"Versie 3";"Atlantic";198;3;5;0;60;1
"PINK";"Polygoon1";"2110";"2110";"Versie 2.0";"Atlantic";9813;3;4;0;75;1
"PINK";"Polygoon1";"2110";"2110";"Versie 3";"Atlantic";9813;4;5;0;80;1
"PINK";"Polygoon10";"2110";"2110";"Versie 2.0";"Atlantic";20;3;4;1;75;0
"PINK";"Polygoon10";"2110";"2110";"Versie 3";"Atlantic";20;4;5;1;80;0
"PINK";"Polygoon100";"2110";"2110";"Versie 2.0";"Atlantic";60;2;4;1;50;0
"PINK";"Polygoon100";"2110";"2110";"Versie 3";"Atlantic";60;3;5;1;60;0
"PINK";"Polygoon101";"2110";"2110";"Versie 2.0";"Atlantic";308;3;4;0;75;1
"PINK";"Polygoon101";"2110";"2110";"Versie 3";"Atlantic";308;4;5;0;80;1
"PINK";"Polygoon102";"2110";"2110";"Versie 2.0";"Atlantic";22;1;4;1;25;0
"PINK";"Polygoon102";"2110";"2110";"Versie 3";"Atlantic";22;2;5;1;40;0
"PINK";"Polygoon103";"2110";"2110";"Versie 2.0";"Atlantic";1400;3;4;0;75;1
"PINK";"Polygoon103";"2110";"2110";"Versie 3";"Atlantic";1400;4;5;0;80;1
"PINK";"Polygoon104";"2110";"2110";"Versie 2.0";"Atlantic";49;0;4;2;0;0
"PINK";"Polygoon104";"2110";"2110";"Versie 3";"Atlantic";49;1;5;2;20;0
"PINK";"Polygoon105";"2110";"2110";"Versie 2.0";"Atlantic";1692;2;4;1;50;0
"PINK";"Polygoon105";"2110";"2110";"Versie 3";"Atlantic";1692;3;5;1;60;0
"PINK";"Polygoon106";"2110";"2110";"Versie 2.0";"Atlantic";617;1;4;1;25;0
"PINK";"Polygoon106";"2110";"2110";"Versie 3";"Atlantic";617;2;5;1;40;0
"PINK";"Polygoon107";"2110";"2110";"Versie 2.0";"Atlantic";524;2;4;0;50;0
"PINK";"Polygoon107";"2110";"2110";"Versie 3";"Atlantic";524;3;5;0;60;1
"PINK";"Polygoon108";"2110";"2110";"Versie 2.0";"Atlantic";282;2;4;0;50;0
"PINK";"Polygoon108";"2110";"2110";"Versie 3";"Atlantic";282;3;5;0;60;1
