"";"CodeLocatie";"Waterloop";"X";"Y";"datum";"Meetnet";"ID";"Habitattype";"SGO";"SBZH";"IDToon";"Regio"
"1";"TR100400.1";"WARMBEEK - TONGELREEP (NED) - BROEKBEEK - VRENENBEEK - JONGEMANS";228043;221224;2013-06-14;"monitoringVMM_KRW";"TR100400.1_14/06/2013";"3260";">50";"binnen_sa";NA;"Atl"
"2";"TR100400.1";"WARMBEEK - TONGELREEP (NED) - BROEKBEEK - VRENENBEEK - JONGEMANS";228043;221224;2010-06-18;"monitoringVMM_KRW";"TR100400.1_18/06/2010";"3260";">50";"binnen_sa";NA;"Atl"
"3";"TR100400.2";"WARMBEEK - TONGELREEP (NED) - BROEKBEEK - VRENENBEEK - JONGEMANS";228448;217974;2013-06-14;"monitoringVMM_KRW";"TR100400.2_14/06/2013";"3260";">50";"binnen_sa";NA;"Atl"
"4";"TR100400.2";"WARMBEEK - TONGELREEP (NED) - BROEKBEEK - VRENENBEEK - JONGEMANS";228448;217974;2010-06-18;"monitoringVMM_KRW";"TR100400.2_18/06/2010";"3260";">50";"binnen_sa";NA;"Atl"
"5";"TR100400.4";"WARMBEEK - TONGELREEP (NED) - BROEKBEEK - VRENENBEEK - JONGEMANS";228557;214959;2013-06-18;"monitoringVMM_KRW";"TR100400.4_18/06/2013";"3260";">50";"binnen_sa";NA;"Atl"
"6";"TR100400.4";"WARMBEEK - TONGELREEP (NED) - BROEKBEEK - VRENENBEEK - JONGEMANS";228557;214959;2011-05-26;"monitoringVMM_KRW";"TR100400.4_26/05/2011";"3260";">50";"binnen_sa";NA;"Atl"
"7";"TR100400.4";"WARMBEEK - TONGELREEP (NED) - BROEKBEEK - VRENENBEEK - JONGEMANS";228557;214959;2011-09-09;"monitoringVMM_KRW";"TR100400.4_9/09/2011";"3260";">50";"binnen_sa";NA;"Atl"
"8";"TR102500.1";"WARMBEEK - TONGELREEP (NED) - BROEKBEEK - VRENENBEEK - JONGEMANS";228600;213226;2013-06-11;"monitoringVMM_KRW";"TR102500.1_11/06/2013";"3260";"10-50";"binnen_sa";NA;"Atl"
"9";"TR102500.1";"WARMBEEK - TONGELREEP (NED) - BROEKBEEK - VRENENBEEK - JONGEMANS";228600;213226;2010-06-17;"monitoringVMM_KRW";"TR102500.1_17/06/2010";"3260";"10-50";"binnen_sa";NA;"Atl"
"10";"TR102500.1";"WARMBEEK - TONGELREEP (NED) - BROEKBEEK - VRENENBEEK - JONGEMANS";228600;213226;2016-07-06;"monitoringVMM_KRW";"TR102500.1_6/07/2016";"3260";"10-50";"binnen_sa";NA;"Atl"
