"";"ID";"Habitattype";"Versie";"Kwaliteitsniveau";"Status";"Aggregatiemethode";"Index_min_min";"Index_min_harm";"Index_harm_harm"
"1";"TR100400.1_14/06/2013";"3260";"Versie 2.0";1;TRUE;"RapportageHR";0;0,315842758551651;0,32116683380079
"2";"TR100400.1_14/06/2013";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,5;-0,30376197880861;-0,262669425009806
"3";"TR100400.1_18/06/2010";"3260";"Versie 2.0";1;FALSE;"RapportageHR";0;0,238098606333272;0,238205154851244
"4";"TR100400.1_18/06/2010";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,5;-0,394134270379439;-0,361946579821905
"5";"TR100400.2_14/06/2013";"3260";"Versie 2.0";1;TRUE;"RapportageHR";-1;-1;-1
"6";"TR100400.2_14/06/2013";"3260";"Versie 3";1;TRUE;"RapportageHR";-1;-1;-1
"7";"TR100400.2_18/06/2010";"3260";"Versie 2.0";1;TRUE;"RapportageHR";-1;-1;-1
"8";"TR100400.2_18/06/2010";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"9";"TR100400.4_18/06/2013";"3260";"Versie 2.0";1;TRUE;"RapportageHR";-1;-1;-1
"10";"TR100400.4_18/06/2013";"3260";"Versie 3";1;TRUE;"RapportageHR";-1;-1;-1
"11";"TR100400.4_26/05/2011";"3260";"Versie 2.0";1;TRUE;"RapportageHR";0;0,394639500230203;0,394774696774966
"12";"TR100400.4_26/05/2011";"3260";"Versie 3";1;FALSE;"RapportageHR";-0,5;-0,256653731204236;-0,207609634372186
"13";"TR100400.4_9/09/2011";"3260";"Versie 2.0";1;TRUE;"RapportageHR";-1;-1;-1
"14";"TR100400.4_9/09/2011";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"15";"TR102500.1_11/06/2013";"3260";"Versie 2.0";1;TRUE;"RapportageHR";-1;-1;-1
"16";"TR102500.1_11/06/2013";"3260";"Versie 3";1;TRUE;"RapportageHR";-1;-1;-1
"17";"TR102500.1_17/06/2010";"3260";"Versie 2.0";1;TRUE;"RapportageHR";-1;-1;-1
"18";"TR102500.1_17/06/2010";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"19";"TR102500.1_6/07/2016";"3260";"Versie 2.0";1;TRUE;"RapportageHR";-1;-1;-1
"20";"TR102500.1_6/07/2016";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"21";"TR102500.2_11/06/2013";"3260";"Versie 2.0";1;TRUE;"RapportageHR";0;0,406553238263814;0,406690754627183
"22";"TR102500.2_11/06/2013";"3260";"Versie 3";1;FALSE;"RapportageHR";0;0,00743841491930697;0,0996833537023876
"23";"TR102500.2_20/05/2010";"3260";"Versie 2.0";1;TRUE;"RapportageHR";0;0,450503308270547;0,45064955319521
"24";"TR102500.2_20/05/2010";"3260";"Versie 3";1;TRUE;"RapportageHR";0;0,113907587153335;0,227782191426728
"25";"TR102500.2_6/07/2016";"3260";"Versie 2.0";1;TRUE;"RapportageHR";-1;-1;-1
"26";"TR102500.2_6/07/2016";"3260";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
