"";"ID";"Habitattype";"Versie";"Habitattype.y";"Criterium";"Indicator";"Beoordeling";"Belang";"Kwaliteitsniveau";"BeoordelingID";"Status_indicator";"Verschilscore"
"1";"TR100400.1_14/06/2013";"3260";"Versie 2.0";"3260";"Structuur";"helofyten";"B: 30-70 %";"zb";1;287;TRUE;0,329428029956323
"2";"TR100400.1_14/06/2013";"3260";"Versie 2.0";"3260";"Structuur";"verticale structuur";"B: 3 groeivormen";"b";1;291;TRUE;NA
"3";"TR100400.1_14/06/2013";"3260";"Versie 2.0";"3260";"Vegetatie";"sleutelsoorten";"B: >= 1 sleutelsoort is frequent tot (co)dominant aanwezig";"b";1;294;TRUE;0
"4";"TR100400.1_14/06/2013";"3260";"Versie 2.0";"3260";"Verstoring";"eutrofiëring";"B: 10-30 %";"zb";1;1315;TRUE;0,963366666666667
"5";"TR100400.1_14/06/2013";"3260";"Versie 2.0";"3260";"Verstoring";"invasieve exoten";"B: < 10 %";"zb";1;290;TRUE;0,895
"6";"TR100400.1_14/06/2013";"3260";"Versie 3";"3260";"Structuur";"horizontale structuur";"grootste vegetatievlek > 10 m<U+00B2>";"zb";1;1294;NA;NA
"7";"TR100400.1_14/06/2013";"3260";"Versie 3";"3260";"Structuur";"verticale structuur";"<= 30 % helofyten (uitgezonderd sleutelsoorten)";"zb";1;1291;FALSE;-0,242000541472249
"8";"TR100400.1_14/06/2013";"3260";"Versie 3";"3260";"Vegetatie";"sleutelsoorten";"minstens 1 sleutelsoort minstens laag-abundant aanwezig of minstens 2 sleutelsoorten frequent aanwezig";"b";1;1290;FALSE;-0,5
"9";"TR100400.1_14/06/2013";"3260";"Versie 3";"3260";"Verstoring";"eutrofiëring";"<= 30 %";"zb";1;1295;TRUE;0,963366666666667
"10";"TR100400.1_14/06/2013";"3260";"Versie 3";"3260";"Verstoring";"invasieve exoten";"afwezig";"zb";1;1287;FALSE;0,0105
"11";"TR100400.1_18/06/2010";"3260";"Versie 2.0";"3260";"Structuur";"helofyten";"B: 30-70 %";"zb";1;287;FALSE;0,0838307104570502
"12";"TR100400.1_18/06/2010";"3260";"Versie 2.0";"3260";"Structuur";"verticale structuur";"B: 3 groeivormen";"b";1;291;TRUE;NA
"13";"TR100400.1_18/06/2010";"3260";"Versie 2.0";"3260";"Vegetatie";"sleutelsoorten";"B: >= 1 sleutelsoort is frequent tot (co)dominant aanwezig";"b";1;294;TRUE;0
"14";"TR100400.1_18/06/2010";"3260";"Versie 2.0";"3260";"Verstoring";"eutrofiëring";"B: 10-30 %";"zb";1;1315;TRUE;0,998333333333333
"15";"TR100400.1_18/06/2010";"3260";"Versie 2.0";"3260";"Verstoring";"invasieve exoten";"B: < 10 %";"zb";1;290;TRUE;1
"16";"TR100400.1_18/06/2010";"3260";"Versie 3";"3260";"Structuur";"horizontale structuur";"grootste vegetatievlek > 10 m<U+00B2>";"zb";1;1294;NA;NA
"17";"TR100400.1_18/06/2010";"3260";"Versie 3";"3260";"Structuur";"verticale structuur";"<= 30 % helofyten (uitgezonderd sleutelsoorten)";"zb";1;1291;FALSE;-0,487597860971521
"18";"TR100400.1_18/06/2010";"3260";"Versie 3";"3260";"Vegetatie";"sleutelsoorten";"minstens 1 sleutelsoort minstens laag-abundant aanwezig of minstens 2 sleutelsoorten frequent aanwezig";"b";1;1290;FALSE;-0,5
"19";"TR100400.1_18/06/2010";"3260";"Versie 3";"3260";"Verstoring";"eutrofiëring";"<= 30 %";"zb";1;1295;TRUE;0,998333333333333
"20";"TR100400.1_18/06/2010";"3260";"Versie 3";"3260";"Verstoring";"invasieve exoten";"afwezig";"zb";1;1287;TRUE;0
"21";"TR100400.2_14/06/2013";"3260";"Versie 2.0";"3260";"Structuur";"helofyten";"B: 30-70 %";"zb";1;287;TRUE;0,841999066591071
