"";"CodeLocatie";"Habitattype";"ID";"Meetnet";"datum";"Versie";"aantal groeivormen";"aantal sleutelsoorten frequent";"aantal sleutelsoorten laag-abundant";"bedekking eutrofiëring";"bedekking helofyten";"bedekking invasieve exoten";"grootste vegetatievlek in m²";"jaar";"periode"
"1";"TR100400.1";"3260";"TR100400.1_14/06/2013";"monitoringVMM_KRW";2013-06-14;"Versie 2.0";TRUE;TRUE;NA;TRUE;TRUE;TRUE;NA;2013;"2"
"2";"TR100400.1";"3260";"TR100400.1_14/06/2013";"monitoringVMM_KRW";2013-06-14;"Versie 3";NA;FALSE;FALSE;TRUE;FALSE;FALSE;NA;2013;"2"
"3";"TR100400.1";"3260";"TR100400.1_18/06/2010";"monitoringVMM_KRW";2010-06-18;"Versie 2.0";TRUE;TRUE;NA;TRUE;FALSE;TRUE;NA;2010;"1"
"4";"TR100400.1";"3260";"TR100400.1_18/06/2010";"monitoringVMM_KRW";2010-06-18;"Versie 3";NA;FALSE;FALSE;TRUE;FALSE;TRUE;NA;2010;"1"
"5";"TR100400.2";"3260";"TR100400.2_14/06/2013";"monitoringVMM_KRW";2013-06-14;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA;2013;"2"
"6";"TR100400.2";"3260";"TR100400.2_14/06/2013";"monitoringVMM_KRW";2013-06-14;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;TRUE;NA;2013;"2"
"7";"TR100400.2";"3260";"TR100400.2_18/06/2010";"monitoringVMM_KRW";2010-06-18;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA;2010;"1"
"8";"TR100400.2";"3260";"TR100400.2_18/06/2010";"monitoringVMM_KRW";2010-06-18;"Versie 3";NA;FALSE;FALSE;TRUE;FALSE;TRUE;NA;2010;"1"
"9";"TR100400.4";"3260";"TR100400.4_18/06/2013";"monitoringVMM_KRW";2013-06-18;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA;2013;"2"
"10";"TR100400.4";"3260";"TR100400.4_18/06/2013";"monitoringVMM_KRW";2013-06-18;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;TRUE;NA;2013;"2"
"11";"TR100400.4";"3260";"TR100400.4_26/05/2011";"monitoringVMM_KRW";2011-05-26;"Versie 2.0";TRUE;TRUE;NA;TRUE;TRUE;TRUE;NA;2011;"1"
"12";"TR100400.4";"3260";"TR100400.4_26/05/2011";"monitoringVMM_KRW";2011-05-26;"Versie 3";NA;FALSE;FALSE;TRUE;FALSE;TRUE;NA;2011;"1"
"13";"TR100400.4";"3260";"TR100400.4_9/09/2011";"monitoringVMM_KRW";2011-09-09;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA;2011;"1"
"14";"TR100400.4";"3260";"TR100400.4_9/09/2011";"monitoringVMM_KRW";2011-09-09;"Versie 3";NA;FALSE;FALSE;TRUE;FALSE;FALSE;NA;2011;"1"
"15";"TR102500.1";"3260";"TR102500.1_11/06/2013";"monitoringVMM_KRW";2013-06-11;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA;2013;"2"
"16";"TR102500.1";"3260";"TR102500.1_11/06/2013";"monitoringVMM_KRW";2013-06-11;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;TRUE;NA;2013;"2"
"17";"TR102500.1";"3260";"TR102500.1_17/06/2010";"monitoringVMM_KRW";2010-06-17;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA;2010;"1"
"18";"TR102500.1";"3260";"TR102500.1_17/06/2010";"monitoringVMM_KRW";2010-06-17;"Versie 3";NA;FALSE;FALSE;TRUE;FALSE;TRUE;NA;2010;"1"
"19";"TR102500.1";"3260";"TR102500.1_6/07/2016";"monitoringVMM_KRW";2016-07-06;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA;2016;"2"
"20";"TR102500.1";"3260";"TR102500.1_6/07/2016";"monitoringVMM_KRW";2016-07-06;"Versie 3";NA;FALSE;FALSE;TRUE;FALSE;TRUE;NA;2016;"2"
"21";"TR102500.2";"3260";"TR102500.2_11/06/2013";"monitoringVMM_KRW";2013-06-11;"Versie 2.0";TRUE;TRUE;NA;TRUE;TRUE;TRUE;NA;2013;"2"
"22";"TR102500.2";"3260";"TR102500.2_11/06/2013";"monitoringVMM_KRW";2013-06-11;"Versie 3";NA;FALSE;TRUE;TRUE;FALSE;TRUE;NA;2013;"2"
"23";"TR102500.2";"3260";"TR102500.2_20/05/2010";"monitoringVMM_KRW";2010-05-20;"Versie 2.0";TRUE;TRUE;NA;TRUE;TRUE;TRUE;NA;2010;"1"
"24";"TR102500.2";"3260";"TR102500.2_20/05/2010";"monitoringVMM_KRW";2010-05-20;"Versie 3";NA;FALSE;TRUE;TRUE;TRUE;TRUE;NA;2010;"1"
"25";"TR102500.2";"3260";"TR102500.2_6/07/2016";"monitoringVMM_KRW";2016-07-06;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA;2016;"2"
