"";"CodeLocatie";"Waterloop";"X";"Y";"datum";"ID";"Habitattype";"Meetnet";"SGO";"SBZH";"IDToon";"Regio"
"1";"TR115000.2";"ITTERBEEK";239519;201829;2014-07-23;"TR115000.2_23/07/2014";"3260";"monitoringVMM_KRW";"10-50";"binnen_sa";NA;"Atl"
"2";"IttBe_01";"Itterbeek";239836,4;202029,4;2016-07-27;"IttBe_01_27/07/2016";"3260";"MonitoringINBO_H3260";"10-50";"binnen_sa";516;"Atl"
"3";"KleNe_03";"Kleine Nete";184630,4;208996;2017-07-18;"KleNe_03_18/07/2017";"3260";"MonitoringINBO_H3260";">50";"binnen_sa";603;"Atl"
"4";"TR125000.A";"ABEEK - LOSSING";245352;206408;2013-08-21;"TR125000.A_21/08/2013";"3260";"monitoringVMM_KRW";">50";"binnen_sa";NA;"Atl"
"5";"MunLo_01";"Muntloop";175351,4;236847,3;2016-08-19;"MunLo_01_19/08/2016";"3260";"MonitoringINBO_H3260";"10-50";"buiten";1515;"Atl"
"6";"TR335600.3";"ASBEEK - ASDONKBEEK -  HANSKENSELSLOOP";208282;203672;2017-07-24;"TR335600.3_24/07/2017";"3260";"monitoringVMM_KRW";"10-50";"binnen_sa";NA;"Atl"
"7";"TR335600.3";"ASBEEK - ASDONKBEEK -  HANSKENSELSLOOP";208282;203672;2014-08-18;"TR335600.3_18/08/2014";"3260";"monitoringVMM_KRW";"10-50";"binnen_sa";NA;"Atl"
"8";"TR102500.1";"WARMBEEK - TONGELREEP (NED) - BROEKBEEK - VRENENBEEK - JONGEMANS";228600;213226;2016-07-06;"TR102500.1_6/07/2016";"3260";"monitoringVMM_KRW";"10-50";"binnen_sa";NA;"Atl"
"9";"TR182680.2";"AFWATERINGSGRACHT - OPSTALBEEK - ZOETE BEEK";148761;224036;2015-06-10;"TR182680.2_10/06/2015";"3260";"monitoringVMM_KRW";"10-50";"buiten";NA;"Atl"
"10";"Maas_19";"Maas";243401,5;177861;2017-08-21;"Maas_19_21/08/2017";"3260";"MonitoringINBO_H3260";">50";"binnen_sa";1824;"Atl"
