"";"CodeLocatie";"Waterloop";"X";"Y";"datum";"ID";"Habitattype";"Meetnet";"SGO";"SBZH";"IDToon";"Regio";"Versie";"Habitattype.y";"Criterium";"Indicator";"Beoordeling";"Kwaliteitsniveau";"Belang";"BeoordelingID";"Combinatie";"VoorwaardeID";"Voorwaarde";"Referentiewaarde";"Operator";"EenheidRefwaarde";"TypeRefwaarde";"InvoertypeRevwaarde";"Waarde";"TypeWaarde";"InvoertypeWaarde";"EenheidWaarde";"AfkomstWaarde";"TheoretischMaximum";"Status_voorwaarde";"Verschilscore"
"1";"AntGr_01";"Antitankkanaal";153679,3;226383,3;2016-08-18;"AntGr_01_18/08/2016";"3260";"MonitoringINBO_H3260";"10-50";"buiten";1143;"Atl";"Versie 2.0";"3260";"Structuur";"helofyten";"B: 30-70 %";1;"zb";287;"783";783;"bedekking helofyten";"70";"<=";"%";"Percentage";NA;"1";"Percentage";NA;"%";"observatie";100;TRUE;0,985714285714286
"2";"AntGr_01";"Antitankkanaal";153679,3;226383,3;2016-08-18;"AntGr_01_18/08/2016";"3260";"MonitoringINBO_H3260";"10-50";"buiten";1143;"Atl";"Versie 2.0";"3260";"Structuur";"verticale structuur";"B: 3 groeivormen";1;"b";291;"251";251;"aantal groeivormen";"3";">=";NA;"Geheel getal";NA;"3";"Geheel getal";NA;NA;"observatie";NA;TRUE;NA
"3";"AntGr_01";"Antitankkanaal";153679,3;226383,3;2016-08-18;"AntGr_01_18/08/2016";"3260";"MonitoringINBO_H3260";"10-50";"buiten";1143;"Atl";"Versie 2.0";"3260";"Vegetatie";"sleutelsoorten";"B: >= 1 sleutelsoort is frequent tot (co)dominant aanwezig";1;"b";294;"432";432;"aantal sleutelsoorten frequent";"1";">=";NA;"Geheel getal";NA;"1";"Geheel getal";NA;NA;"berekend";29;TRUE;0
"4";"AntGr_01";"Antitankkanaal";153679,3;226383,3;2016-08-18;"AntGr_01_18/08/2016";"3260";"MonitoringINBO_H3260";"10-50";"buiten";1143;"Atl";"Versie 2.0";"3260";"Verstoring";"eutrofiëring";"B: 10-30 %";1;"zb";1315;"722";722;"bedekking eutrofiëring";"30";"<=";"%";"Percentage";NA;"5";"Percentage";NA;"%";"observatie";100;TRUE;0,833333333333333
"5";"AntGr_01";"Antitankkanaal";153679,3;226383,3;2016-08-18;"AntGr_01_18/08/2016";"3260";"MonitoringINBO_H3260";"10-50";"buiten";1143;"Atl";"Versie 2.0";"3260";"Verstoring";"invasieve exoten";"B: < 10 %";1;"zb";290;"832";832;"bedekking invasieve exoten";"10";"<";"%";"Percentage";NA;"5";"Percentage";NA;"%";"observatie";100;TRUE;0,5
"6";"AntGr_01";"Antitankkanaal";153679,3;226383,3;2016-08-18;"AntGr_01_18/08/2016";"3260";"MonitoringINBO_H3260";"10-50";"buiten";1143;"Atl";"Versie 3";"3260";"Structuur";"horizontale structuur";"grootste vegetatievlek > 10 m<U+00B2>";1;"zb";1294;"2093";2093;"grootste vegetatievlek in m²";"10";">=";"m²";"Decimaal getal";NA;"70";"Decimaal getal";NA;"m²";"observatie";NA;TRUE;NA
"7";"AntGr_01";"Antitankkanaal";153679,3;226383,3;2016-08-18;"AntGr_01_18/08/2016";"3260";"MonitoringINBO_H3260";"10-50";"buiten";1143;"Atl";"Versie 3";"3260";"Structuur";"verticale structuur";"<= 30 % helofyten (uitgezonderd sleutelsoorten)";1;"zb";1291;"787";787;"bedekking helofyten";"30";"<=";"%";"Percentage";NA;"1";"Percentage";NA;"%";"observatie";100;TRUE;0,966666666666667
"8";"AntGr_01";"Antitankkanaal";153679,3;226383,3;2016-08-18;"AntGr_01_18/08/2016";"3260";"MonitoringINBO_H3260";"10-50";"buiten";1143;"Atl";"Versie 3";"3260";"Vegetatie";"sleutelsoorten";"minstens 1 sleutelsoort minstens laag-abundant aanwezig of minstens 2 sleutelsoorten frequent aanwezig";1;"b";1290;"520 OR 434";520;"aantal sleutelsoorten laag-abundant";"1";">=";NA;"Geheel getal";NA;"1";"Geheel getal";NA;NA;"berekend";29;TRUE;0
"9";"AntGr_01";"Antitankkanaal";153679,3;226383,3;2016-08-18;"AntGr_01_18/08/2016";"3260";"MonitoringINBO_H3260";"10-50";"buiten";1143;"Atl";"Versie 3";"3260";"Vegetatie";"sleutelsoorten";"minstens 1 sleutelsoort minstens laag-abundant aanwezig of minstens 2 sleutelsoorten frequent aanwezig";1;"b";1290;"520 OR 434";434;"aantal sleutelsoorten frequent";"2";">=";NA;"Geheel getal";NA;"1";"Geheel getal";NA;NA;"berekend";29;FALSE;-0,5
"10";"AntGr_01";"Antitankkanaal";153679,3;226383,3;2016-08-18;"AntGr_01_18/08/2016";"3260";"MonitoringINBO_H3260";"10-50";"buiten";1143;"Atl";"Versie 3";"3260";"Verstoring";"eutrofiëring";"<= 30 %";1;"zb";1295;"725";725;"bedekking eutrofiëring";"30";"<=";"%";"Percentage";NA;"5";"Percentage";NA;"%";"observatie";100;TRUE;0,833333333333333
