"";"CodeLocatie";"Habitattype";"Meetnet";"datum";"Versie";"aantal groeivormen";"aantal sleutelsoorten frequent";"aantal sleutelsoorten laag-abundant";"bedekking eutrofiëring";"bedekking helofyten";"bedekking invasieve exoten";"grootste vegetatievlek in m²"
"1";"AntGr_01";"3260";"MonitoringINBO_H3260";2016-08-18;"Versie 2.0";TRUE;TRUE;NA;TRUE;TRUE;TRUE;NA
"2";"AntGr_01";"3260";"MonitoringINBO_H3260";2016-08-18;"Versie 3";NA;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE
"3";"AntGr_03";"3260";"MonitoringINBO_H3260";2017-07-18;"Versie 2.0";TRUE;TRUE;NA;TRUE;TRUE;TRUE;NA
"4";"AntGr_03";"3260";"MonitoringINBO_H3260";2017-07-18;"Versie 3";NA;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE
"5";"Berwijn_01";"3260";"MonitoringINBO_H3260";2015-07-13;"Versie 2.0";FALSE;FALSE;NA;TRUE;TRUE;TRUE;NA
"6";"Berwijn_01";"3260";"MonitoringINBO_H3260";2015-07-13;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE
"7";"Berwijn_02";"3260";"MonitoringINBO_H3260";2015-07-13;"Versie 2.0";TRUE;FALSE;NA;FALSE;TRUE;TRUE;NA
"8";"Berwijn_02";"3260";"MonitoringINBO_H3260";2015-07-13;"Versie 3";NA;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE
"9";"Berwijn_02_2";"3260";"MonitoringINBO_H3260";2015-07-13;"Versie 2.0";FALSE;TRUE;NA;TRUE;TRUE;TRUE;NA
"10";"Berwijn_02_2";"3260";"MonitoringINBO_H3260";2015-07-13;"Versie 3";NA;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE
"11";"Berwijn_03";"3260";"MonitoringINBO_H3260";2017-07-17;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"12";"Berwijn_03";"3260";"MonitoringINBO_H3260";2017-07-17;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE
"13";"BolBe_02";"3260";"MonitoringINBO_H3260";2016-08-12;"Versie 2.0";TRUE;TRUE;NA;TRUE;TRUE;TRUE;NA
"14";"BolBe_02";"3260";"MonitoringINBO_H3260";2016-08-12;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE
"15";"BosBe_01";"3260";"MonitoringINBO_H3260";2015-06-25;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"16";"BosBe_01";"3260";"MonitoringINBO_H3260";2015-06-25;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE
"17";"BosBe_02";"3260";"MonitoringINBO_H3260";2017-07-17;"Versie 2.0";FALSE;FALSE;NA;TRUE;TRUE;TRUE;NA
"18";"BosBe_02";"3260";"MonitoringINBO_H3260";2017-07-17;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE
"19";"DesNe_01";"3260";"MonitoringINBO_H3260";2015-07-06;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"20";"DesNe_01";"3260";"MonitoringINBO_H3260";2015-07-06;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE
"21";"DesNe_02";"3260";"MonitoringINBO_H3260";2016-08-26;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"22";"DesNe_02";"3260";"MonitoringINBO_H3260";2016-08-26;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE
