"Schaal";"Habitattype";"Versie";"SBZH";"nObs";"sumWeights";"AandeelGunstig";"AandeelGunstig_LLCI";"AandeelGunstig_ULCI"
"Vlaanderen Atlantisch";3260;"Versie 2.0";"Binnen & Buiten";107;248,407007830401;87,69;79,45;92,93
"Vlaanderen Atlantisch";3260;"Versie 2.0";"binnen_sa";68;169,329070145699;84,9;74,04;91,72
"Vlaanderen Atlantisch";3260;"Versie 2.0";"buiten";39;79,0779376847024;93,68;82,87;97,84
"Vlaanderen Atlantisch";3260;"Versie 3";"Binnen & Buiten";107;248,407007830401;12,96;7,62;21,21
"Vlaanderen Atlantisch";3260;"Versie 3";"binnen_sa";68;169,329070145699;14,84;8,11;25,59
"Vlaanderen Atlantisch";3260;"Versie 3";"buiten";39;79,0779376847024;8,95;3,41;21,53
"Vlaanderen";3260;"Versie 2.0";"Binnen & Buiten";123;302,112721578488;89,02;81,89;93,56
"Vlaanderen";3260;"Versie 2.0";"binnen_sa";83;208,729528449968;86,5;77,16;92,4
"Vlaanderen";3260;"Versie 2.0";"buiten";40;93,3831931285198;94,65;85,44;98,16
"Vlaanderen";3260;"Versie 3";"Binnen & Buiten";123;302,112721578488;18,5;12,21;27,03
"Vlaanderen";3260;"Versie 3";"binnen_sa";83;208,729528449968;23,38;15,39;33,86
"Vlaanderen";3260;"Versie 3";"buiten";40;93,3831931285198;7,58;2,91;18,32
