"ID";"Habitattype";"Versie";"SGO";"SBZH";"Regio";"nGunstig";"nIndicatoren";"n_zb_Ongunstig";"AandeelGunstig";"Status_habitatvlek"
"AntGr_01_18/08/2016";3260;"Versie 2.0";"10-50";"buiten";"Atl";5;5;0;100;1
"AntGr_01_18/08/2016";3260;"Versie 3";"10-50";"buiten";"Atl";4;5;1;80;0
"AntGr_03_18/07/2017";3260;"Versie 2.0";"<10";"binnen_sa";"Atl";5;5;0;100;1
"AntGr_03_18/07/2017";3260;"Versie 3";"<10";"binnen_sa";"Atl";5;5;0;100;1
"Berwijn_01_13/07/2015";3260;"Versie 2.0";">50";"binnen_sa";"Con";3;5;0;60;1
"Berwijn_01_13/07/2015";3260;"Versie 3";">50";"binnen_sa";"Con";2;5;2;40;0
"Berwijn_02_13/07/2015";3260;"Versie 2.0";">50";"binnen_sa";"Con";3;5;1;60;0
"Berwijn_02_13/07/2015";3260;"Versie 3";">50";"binnen_sa";"Con";2;5;2;40;0
"Berwijn_02_2_13/07/2015";3260;"Versie 2.0";">50";"binnen_sa";"Con";4;5;0;80;1
"Berwijn_02_2_13/07/2015";3260;"Versie 3";">50";"binnen_sa";"Con";4;5;1;80;0
"Berwijn_03_17/07/2017";3260;"Versie 2.0";">50";"binnen_sa";"Con";4;5;0;80;1
"Berwijn_03_17/07/2017";3260;"Versie 3";">50";"binnen_sa";"Con";3;5;1;60;0
"BolBe_02_12/08/2016";3260;"Versie 2.0";"<10";"binnen_sa";"Atl";5;5;0;100;1
"BolBe_02_12/08/2016";3260;"Versie 3";"<10";"binnen_sa";"Atl";3;5;1;60;0
"BosBe_01_25/06/2015";3260;"Versie 2.0";"10-50";"binnen_sa";"Atl";4;5;0;80;1
"BosBe_01_25/06/2015";3260;"Versie 3";"10-50";"binnen_sa";"Atl";3;5;1;60;0
"BosBe_02_17/07/2017";3260;"Versie 2.0";">50";"binnen_sa";"Atl";3;5;0;60;1
"BosBe_02_17/07/2017";3260;"Versie 3";">50";"binnen_sa";"Atl";3;5;1;60;0
"DesNe_01_6/07/2015";3260;"Versie 2.0";"10-50";"binnen_sa";"Atl";4;5;0;80;1
"DesNe_01_6/07/2015";3260;"Versie 3";"10-50";"binnen_sa";"Atl";2;5;2;40;0
"DesNe_02_26/08/2016";3260;"Versie 2.0";"10-50";"binnen_sa";"Atl";4;5;0;80;1
"DesNe_02_26/08/2016";3260;"Versie 3";"10-50";"binnen_sa";"Atl";2;5;2;40;0
"Dommel_01_5/08/2016";3260;"Versie 2.0";">50";"binnen_sa";"Atl";4;5;0;80;1
"Dommel_01_5/08/2016";3260;"Versie 3";">50";"binnen_sa";"Atl";2;5;2;40;0
"Dommel_03_5/08/2016";3260;"Versie 2.0";">50";"binnen_sa";"Atl";4;5;0;80;1
"Dommel_03_5/08/2016";3260;"Versie 3";">50";"binnen_sa";"Atl";3;5;1;60;0
"Dommel_05_25/06/2015";3260;"Versie 2.0";">50";"binnen_sa";"Atl";5;5;0;100;1
"Dommel_05_25/06/2015";3260;"Versie 3";">50";"binnen_sa";"Atl";2;5;2;40;0
"Dommel_08_8/08/2016";3260;"Versie 2.0";">50";"binnen_sa";"Atl";4;5;0;80;1
"Dommel_08_8/08/2016";3260;"Versie 3";">50";"binnen_sa";"Atl";2;5;2;40;0
"Dommel_09_17/07/2017";3260;"Versie 2.0";">50";"binnen_sa";"Atl";4;5;0;80;1
"Dommel_09_17/07/2017";3260;"Versie 3";">50";"binnen_sa";"Atl";2;5;2;40;0
"Dommel_10_5/08/2016";3260;"Versie 2.0";">50";"binnen_sa";"Atl";4;5;0;80;1
