"";"IDPlots";"IDSegments";"SBZH";"HabTarget1";"HabTarget2";"Year_planning";"HabObserved";"Weight";"Visited";"Measured";"StructureMeasured";"VegspeciesMeasured";"Status";"Orthocontr";"Date";"X";"Y";"X_m";"Y_m"
"1";990;1;0;"9190";NA;1;NA;1;"nee";"nee";FALSE;FALSE;"To do";"1";NA;160989,591973;220366,113583;NA;NA
"2";3894;1;1;"9160";NA;2;NA;1;"nee";"nee";FALSE;FALSE;"To do";"1";2015-04-20;189373,591973;197390,113583;189373,602;197390,065
"3";4729;1;0;"9130_end";NA;1;NA;1;"nee";"nee";FALSE;FALSE;"To do";"1";NA;140861,591973;169934,113583;NA;NA
"4";4945;NA;1;"9130_end";NA;2;NA;NA;"nee";"nee";FALSE;FALSE;"To do";"1";NA;40061,5919735;164142,113583;NA;NA
"5";6110;1;0;"9190";NA;2;NA;1;"nee";"nee";FALSE;FALSE;"To do";"1";NA;153117,591973;222766,113583;NA;NA
"6";7401;1;0;"91E0_vm";NA;1;NA;1;"nee";"nee";FALSE;FALSE;"To do";"1";NA;152253,591973;194606,113583;NA;NA
"7";7785;NA;1;"9190";NA;2;NA;NA;"nee";"nee";FALSE;FALSE;"To do";"1";NA;130205,591973;214350,113583;NA;NA
"8";8217;NA;1;"9130_end";NA;3;NA;NA;"nee";"nee";FALSE;FALSE;"To do";"1";NA;99773,5919735;162734,113583;NA;NA
"9";9169;NA;1;"9160";NA;3;NA;NA;"nee";"nee";FALSE;FALSE;"To do";"1";NA;51581,5919735;183822,113583;NA;NA
"10";9657;1;0;"9130_end";NA;2;NA;1;"nee";"nee";FALSE;FALSE;"To do";"1";NA;138301,591973;161934,113583;NA;NA
"11";10834;1;0;"91E0_vm";NA;2;NA;1;"nee";"nee";FALSE;FALSE;"To do";"1";NA;237757,591973;193198,113583;NA;NA
"12";11573;NA;1;"2180";NA;1;NA;NA;"nee";"nee";FALSE;FALSE;"To do";"0";NA;76829,5919735;226990,113583;NA;NA
"13";11865;NA;1;"91E0_vc";"9130_end";1;NA;NA;"nee";"nee";FALSE;FALSE;"To do";"11";NA;109277,591973;183598,113583;NA;NA
"14";15150;1;0;"9190";NA;3;NA;1;"nee";"nee";FALSE;FALSE;"To do";"1";2015-05-19;195229,591973;229358,113583;195229,554;229358,091
"15";16633;NA;0;"91E0_vc";NA;1;NA;NA;"nee";"nee";FALSE;FALSE;"To do";"1";NA;131677,591973;180078,113583;NA;NA
"16";19158;1;0;"91E0_vo";NA;1;NA;1;"nee";"nee";FALSE;FALSE;"To do";"1";NA;169501,591973;205198,113583;NA;NA
"17";23257;NA;0;"91E0_vc";NA;1;NA;NA;"nee";"nee";FALSE;FALSE;"To do";"11";NA;116413,591973;156782,113583;NA;NA
"18";26393;NA;1;"91E0_vc";NA;1;NA;NA;"nee";"nee";FALSE;FALSE;"To do";"1";NA;98653,5919735;158350,113583;NA;NA
"19";41137;NA;1;"2180";NA;1;NA;NA;"nee";"nee";FALSE;FALSE;"To do";"0";NA;25629,5919735;197102,113583;NA;NA
"20";42161;NA;1;"2180";NA;1;NA;NA;"nee";"nee";FALSE;FALSE;"To do";"0";NA;25437,5919735;199118,113583;NA;NA
"21";42706;1;1;"91E0_vo";NA;1;NA;1;"nee";"nee";FALSE;FALSE;"To do";"1";NA;224733,591973;188526,113583;NA;NA
"22";53970;1;1;"91E0_vo";NA;2;NA;1;"nee";"nee";FALSE;FALSE;"To do";"1";NA;219869,591973;193134,113583;NA;NA
"23";54273;NA;1;"2180";NA;1;NA;NA;"nee";"nee";FALSE;FALSE;"To do";"0";NA;56061,5919735;218478,113583;NA;NA
"24";64821;NA;1;"2180";NA;1;NA;NA;"nee";"nee";FALSE;FALSE;"To do";"0";NA;77789,5919735;228078,113583;NA;NA
"25";76294;1;0;"91E0_vc";NA;1;NA;1;"nee";"nee";FALSE;FALSE;"To do";"1";NA;160125,591973;161870,113583;NA;NA
"26";81638;1;1;"91E0_vo";NA;2;NA;1;"nee";"nee";FALSE;FALSE;"To do";"1";NA;216509,591973;185486,113583;NA;NA
"27";85529;NA;1;"91E0_vc";NA;1;NA;NA;"nee";"nee";FALSE;FALSE;"To do";"11";NA;91357,5919735;162894,113583;NA;NA
"28";96217;NA;1;"91E0_vc";NA;1;NA;NA;"nee";"nee";FALSE;FALSE;"To do";"1";NA;104093,591973;162670,113583;NA;NA
"29";107697;NA;1;"2180";NA;1;NA;NA;"nee";"nee";FALSE;FALSE;"To do";"0";NA;25885,5919735;198830,113583;NA;NA
"30";107957;NA;1;"2180";NA;2;NA;NA;"nee";"nee";FALSE;FALSE;"To do";"0";NA;56125,5919735;218830,113583;NA;NA
"31";112889;1;0;"91E0_vc";NA;2;NA;1;"nee";"nee";FALSE;FALSE;"To do";"11";NA;136445,591973;177806,113583;NA;NA
"32";132818;1;1;"91E0_vo";NA;3;NA;1;"nee";"nee";FALSE;FALSE;"To do";"1";NA;225085,591973;188750,113583;NA;NA
"33";140374;1;1;"91E0_vo";NA;3;NA;1;"nee";"nee";FALSE;FALSE;"To do";"1";NA;184605,591973;194254,113583;NA;NA
"34";146265;NA;1;"91E0_vc";NA;2;NA;NA;"nee";"nee";FALSE;FALSE;"To do";"11";NA;113821,591973;178062,113583;NA;NA
"35";151729;NA;1;"2180";NA;2;NA;NA;"nee";"nee";FALSE;FALSE;"To do";"0";NA;23357,5919735;197934,113583;NA;NA
"36";195046;1;1;"91E0_vc";NA;2;NA;1;"nee";"nee";FALSE;FALSE;"To do";"11";NA;209245,591973;174318,113583;NA;NA
"37";201689;NA;1;"91E0_vc";NA;2;NA;NA;"nee";"nee";FALSE;FALSE;"To do";"1";NA;104637,591973;166190,113583;NA;NA
"38";217049;NA;1;"91E0_vc";NA;3;NA;NA;"nee";"nee";FALSE;FALSE;"To do";"11";NA;109597,591973;163374,113583;NA;NA
"39";217141;NA;1;"2180";NA;2;NA;NA;"nee";"nee";FALSE;FALSE;"To do";"0";NA;76989,5919735;226638,113583;NA;NA
"40";224726;1;0;"91E0_vc";NA;3;NA;1;"nee";"nee";FALSE;FALSE;"To do";"1";NA;182557,591973;216846,113583;NA;NA
"41";248946;1;1;"91E0_vc";NA;3;NA;1;"nee";"nee";FALSE;FALSE;"To do";"11";NA;228317,591973;167918,113583;NA;NA
"42";249846;1;0;"91E0_vo";NA;3;NA;1;"nee";"nee";FALSE;FALSE;"To do";"1";NA;188445,591973;218478,113583;NA;NA
"43";250033;NA;1;"2180";NA;2;NA;NA;"nee";"nee";FALSE;FALSE;"To do";"0";NA;23645,5919735;196078,113583;NA;NA
"44";253593;NA;0;"91E0_vc";NA;3;NA;NA;"nee";"nee";FALSE;FALSE;"To do";"11";NA;93149,5919735;180046,113583;NA;NA
"45";255153;NA;1;"2180";NA;2;NA;NA;"nee";"nee";FALSE;FALSE;"To do";"0";NA;25373,5919735;199310,113583;NA;NA
"46";257081;NA;1;"91E0_vc";NA;3;NA;NA;"nee";"nee";FALSE;FALSE;"To do";"11";NA;122077,591973;164494,113583;NA;NA
"47";262038;1;0;"91E0_vo";NA;3;NA;1;"nee";"nee";FALSE;FALSE;"To do";"1";NA;165789,591973;217326,113583;NA;NA
"48";268341;NA;0;"2180";NA;3;NA;NA;"nee";"nee";FALSE;FALSE;"To do";"0";NA;72061,5919735;226190,113583;NA;NA
"49";273717;NA;1;"2180";NA;2;NA;NA;"nee";"nee";FALSE;FALSE;"To do";"0";NA;77277,5919735;226958,113583;NA;NA
"50";284729;NA;1;"91E0_vc";NA;3;NA;NA;"nee";"nee";FALSE;FALSE;"To do";"1";NA;127997,591973;167406,113583;NA;NA
"51";369841;NA;1;"2180";NA;3;NA;NA;"nee";"nee";FALSE;FALSE;"To do";"0";NA;25693,5919735;198894,113583;NA;NA
"52";386225;NA;1;"2180";NA;3;NA;NA;"nee";"nee";FALSE;FALSE;"To do";"0";NA;25757,5919735;199438,113583;NA;NA
