"HabCode";"SBZH";"nOpgemeten";"nGewenst"
"1330_hpr";"Binnen";16;73
"1330_hpr";"Buiten";0;21
"6120";"Binnen";4;98
"6120";"Buiten";0;38
"6230_ha";"Binnen";15;72
"6230_ha";"Buiten";3;17
"6230_hmo";"Binnen";20;58
"6230_hmo";"Buiten";3;11
"6230_hn";"Binnen";17;49
"6230_hn";"Buiten";8;34
"6230_hnk";"Binnen";1;2
"6230_hnk";"Buiten";0;0
"6410_mo";"Binnen";23;29
"6410_mo";"Buiten";9;23
"6410_ve";"Binnen";11;97
"6410_ve";"Buiten";1;25
"7140_meso";"Binnen";23;87
"7140_meso";"Buiten";0;13
"7140_oli";"Binnen";11;73
"7140_oli";"Buiten";0;1
