"Habitattype";"nOpgemeten_Vlaanderen";"nOpgemeten_SBZH";"nGewenst_Vlaanderen";"nGewenst_SBZH";"voortgang_Vlaanderen";"voortgang_SBZH"
"1330";82;82;185;158;44;52
"2130";188;188;217;208;87;90
"2160";41;41;171;165;24;25
"2170";11;11;127;126;9;9
"2180";0;0;162;157;0;0
"2190";78;78;128;127;61;61
"2310";52;52;176;169;30;31
"2330";37;35;237;214;16;16
"4010";31;31;171;168;18;18
"4030";37;35;182;169;20;21
"6120";4;4;136;98;3;4
"6230";66;52;259;190;25;27
"6410";44;34;174;126;25;27
"6510";49;34;401;237;12;14
"7140";34;34;174;160;20;21
"9120";265;144;210;170;126;85
"9130";38;29;200;169;19;17
"9160";47;28;204;168;23;17
"9190";59;31;215;168;27;18
"91E0";202;126;496;308;41;41
