"Habitattype";"Habitatsubtype";"Versie";"Indicator";"TaxongroepId";"Omschrijving";"NbnTaxonVersionKey";"WetNaam";"NedNaam";"WetNaamKort";"TaxonType"
"2130";"2130_had";"Versie 2.0";"invasieve exoten";398;NA;"NBNSYS0000036261";"Campylopus introflexus (Hedw.) Brid.";"Grijs kronkelsteeltje";"Campylopus introflexus";"Species"
"2130";"2130_had";"Versie 3";"invasief mos";398;NA;"NBNSYS0000036261";"Campylopus introflexus (Hedw.) Brid.";"Grijs kronkelsteeltje";"Campylopus introflexus";"Species"
"2130";"2130_had";"Versie 3";"invasieve exoten";180;NA;"NHMSYS0000462477";"Rosa rugosa Thunb.";"Rimpelroos";"Rosa rugosa";"Species"
"2130";"2130_hd";"Versie 3";"invasieve exoten";180;NA;"NHMSYS0000462477";"Rosa rugosa Thunb.";"Rimpelroos";"Rosa rugosa";"Species"
"2150";"2150";"Versie 2.0";"invasieve exoten";398;NA;"NBNSYS0000036261";"Campylopus introflexus (Hedw.) Brid.";"Grijs kronkelsteeltje";"Campylopus introflexus";"Species"
"2150";"2150";"Versie 3";"invasief mos";398;NA;"NBNSYS0000036261";"Campylopus introflexus (Hedw.) Brid.";"Grijs kronkelsteeltje";"Campylopus introflexus";"Species"
"2150";"2150";"Versie 3";"invasieve exoten";180;NA;"NHMSYS0000462477";"Rosa rugosa Thunb.";"Rimpelroos";"Rosa rugosa";"Species"
"2160";"2160";"Versie 2.0";"invasieve exoten";181;NA;"NBNSYS0000002756";"Mahonia aquifolium (Pursh) Nutt.";"Mahonia";"Mahonia aquifolium";"Species"
"2160";"2160";"Versie 2.0";"invasieve exoten";181;NA;"NBNSYS0000014213";"Prunus serotina Ehrh.";"Amerikaanse vogelkers";"Prunus serotina";"Species"
"2160";"2160";"Versie 2.0";"invasieve exoten";181;NA;"NHMSYS0000455700";"Ailanthus altissima (Mill.) Swingle";"Hemelboom";"Ailanthus altissima";"Species"
"2160";"2160";"Versie 3";"invasieve exoten";182;NA;"NBNSYS0000002756";"Mahonia aquifolium (Pursh) Nutt.";"Mahonia";"Mahonia aquifolium";"Species"
"2160";"2160";"Versie 3";"invasieve exoten";182;NA;"NBNSYS0000003422";"Cotoneaster";"Dwergmispel (G)";"Cotoneaster";"Genus"
