"Meetnet";"MeetpuntID";"ID_VBI";"Plot";"OpnameID";"Habitattype";"Habitatsubtype";"SBZH";"Date";"X";"Y";"GRTS_ranking";"PlotWeight_cirkelplot";"StratumWeight";"PlotWeight_vegetatieplot";"Periode";"Phab"
"MHK";"1117877";;"Cirkelplot";"IV2017010616345212";"1330";"1330_hpr";"Binnen";"2015-08-20";68669,3153;220718,3479;1117877;50;5,18125;;;
"MHK";"1117877";;"Vegetatieplot";"IV2017010616415877";"1330";"1330_hpr";"Binnen";"2015-08-20";68669,3153;220718,3479;1117877;;5,18125;100;;
"MHK";"1348277";;"Cirkelplot";"IV2017120107565546";"1330";"1330_hpr";"Binnen";"2017-09-29";64030,0311404;219854,663514;1348277;71;5,18125;;;
"MHK";"1348277";;"Vegetatieplot";"IV2017120108115051";"1330";"1330_hpr";"Binnen";"2017-09-29";64030,0311404;219854,663514;1348277;;5,18125;100;;
"MHK";"1403657";;"Cirkelplot";"IV2017120109300668";"1330";"1330_hpr";"Binnen";"2017-09-29";104551,741491;215530,58383;1403657;39;5,18125;;;
"MHK";"1403657";;"Vegetatieplot";"IV2017120111004036";"1330";"1330_hpr";"Binnen";"2017-09-29";104551,741491;215530,58383;1403657;;5,18125;100;;
"MHK";"212661";;"Cirkelplot";"IV2017010617282387";"1330";"1330_hpr";"Binnen";"2015-08-13";69383,7141;220909,823;212661;90;5,18125;;;
"MHK";"212661";;"Vegetatieplot";"IV2017010617362713";"1330";"1330_hpr";"Binnen";"2015-08-13";69383,7141;220909,823;212661;;5,18125;100;;
"MHK";"299701";;"Cirkelplot";"IV2017120108515000";"1330";"1330_hpr";"Binnen";"2017-09-29";64253,8937659;219725,925639;299701;95;5,18125;;;
"MHK";"299701";;"Vegetatieplot";"IV2017120109032402";"1330";"1330_hpr";"Binnen";"2017-09-29";64253,8937659;219725,925639;299701;;5,18125;100;;
"MHK";"37557";;"Cirkelplot";"IV2017011215162577";"1330";"1330_hpr";"Binnen";"2015-08-11";64359,5686;219885,4354;37557;70;5,18125;;;
"MHK";"37557";;"Vegetatieplot";"IV2017011215184680";"1330";"1330_hpr";"Binnen";"2015-08-11";64359,5686;219885,4354;37557;;5,18125;100;;
"MHK";"437685";;"Cirkelplot";"IV2017011212535658";"1330";"1330_hpr";"Binnen";"2015-08-06";62428,2246;220892,1052;437685;50;5,18125;;;
"MHK";"437685";;"Vegetatieplot";"IV2017011214394174";"1330";"1330_hpr";"Binnen";"2015-08-06";62428,2246;220892,1052;437685;;5,18125;50;;
"MHK";"455349";;"Cirkelplot";"IV2017010610523940";"1330";"1330_hpr";"Binnen";"2015-08-03";63613,789;221017,2619;455349;93;5,18125;;;
"MHK";"455349";;"Vegetatieplot";"IV2017010612064228";"1330";"1330_hpr";"Binnen";"2015-08-03";63613,789;221017,2619;455349;;5,18125;100;;
"MHK";"472065";;"Cirkelplot";"IV2017010613314127";"1330";"1330_hpr";"Binnen";"2015-08-24";58173,400285;216238,329926;472065;63;5,18125;;;
"MHK";"472065";;"Vegetatieplot";"IV2017010613424129";"1330";"1330_hpr";"Binnen";"2015-08-24";58173,400285;216238,329926;472065;;5,18125;100;;
"MHK";"540341";;"Cirkelplot";"IV2017010618124978";"1330";"1330_hpr";"Binnen";"2015-08-14";69693,6403;220686,3289;540341;85;5,18125;;;
"MHK";"540341";;"Vegetatieplot";"IV2017010618211064";"1330";"1330_hpr";"Binnen";"2015-08-14";69693,6403;220686,3289;540341;;5,18125;100;;
"MHK";"695297";;"Cirkelplot";"IV2017011215545335";"1330";"1330_hpr";"Binnen";"2015-08-19";56765,2699;211970,458;695297;30;5,18125;;;
"MHK";"695297";;"Vegetatieplot";"IV2017011216070022";"1330";"1330_hpr";"Binnen";"2015-08-19";56765,2699;211970,458;695297;;5,18125;100;;
"MHK";"736949";;"Cirkelplot";"IV2017010617095027";"1330";"1330_hpr";"Binnen";"2015-08-12";69278,7485;220888,1403;736949;65;5,18125;;;
"MHK";"736949";;"Vegetatieplot";"IV2017010617191621";"1330";"1330_hpr";"Binnen";"2015-08-12";69278,7485;220888,1403;736949;;5,18125;100;;
"MHK";"798133";;"Cirkelplot";"IV2017011215302636";"1330";"1330_hpr";"Binnen";"2015-08-11";62813,5567;221934,2273;798133;100;5,18125;;;
"MHK";"798133";;"Vegetatieplot";"IV2017011215475751";"1330";"1330_hpr";"Binnen";"2015-08-11";62813,5567;221934,2273;798133;;5,18125;100;;
"MHK";"801793";;"Cirkelplot";"IV2017010617430082";"1330";"1330_hpr";"Binnen";"2015-08-19";57082,4188;212469,2716;801793;85;5,18125;;;
"MHK";"801793";;"Vegetatieplot";"IV2017010618013747";"1330";"1330_hpr";"Binnen";"2015-08-19";57082,4188;212469,2716;801793;;5,18125;100;;
"MHK";"908981";;"Cirkelplot";"IV2017010609200485";"1330";"1330_hpr";"Binnen";"2016-09-15";69374,1989606;220462,074998;908981;60;5,18125;;;
"MHK";"908981";;"Vegetatieplot";"IV2017010609352959";"1330";"1330_hpr";"Binnen";"2016-09-15";69374,1989606;220462,074998;908981;;5,18125;100;;
"MHK";"996353";;"Cirkelplot";"IV2017010612172361";"1330";"1330_hpr";"Binnen";"2015-08-24";58170,9251132;216400,209267;996353;30;5,18125;;;
"MHK";"996353";;"Vegetatieplot";"IV2017010612593713";"1330";"1330_hpr";"Binnen";"2015-08-24";58170,9251132;216400,209267;996353;;5,18125;100;;
"MHK";"102098";;"Vegetatieplot";"102098";"2310";"2310";"Binnen";"2014-09-11";224477,59;192718,125;102098;1;41,5557692307692;;;
"MHK";"105682";;"Vegetatieplot";"105682";"2310";"2310";"Binnen";"2014-09-08";225437,587;194286,099;105682;1;41,5557692307692;;;
"MHK";"10706";;"Vegetatieplot";"10706";"2310";"2310";"Binnen";"2015-06-01";227869,592;193454,114;10706;1;41,5557692307692;;;
"MHK";"115422";;"Vegetatieplot";"115422";"2310";"2310";"Binnen";"2015-06-23";153533,629;234190,134;115422;1;41,5557692307692;;;
"MHK";"117202";;"Vegetatieplot";"117202";"2310";"2310";"Binnen";"2014-09-10";229949,576;193582,05;117202;1;41,5557692307692;;;
"MHK";"124278";;"Vegetatieplot";"124278";"2310";"2310";"Binnen";"2014-09-23";214109,647;216238,18;124278;1;41,5557692307692;;;
"MHK";"125394";;"Vegetatieplot";"125394";"2310";"2310";"Binnen";"2015-06-01";226973,628;193230,042;125394;1;41,5557692307692;;;
"MHK";"127710";;"Vegetatieplot";"127710";"2310";"2310";"Binnen";"2016-11-16";153981,527;232814,138;127710;1;41,5557692307692;;;
"MHK";"134098";;"Vegetatieplot";"134098";"2310";"2310";"Binnen";"2014-09-09";228733,609;194830,124;134098;1;41,5557692307692;;;
"MHK";"144094";;"Vegetatieplot";"144094";"2310";"2310";"Binnen";"2014-09-03";153181,836;231726,666;144094;1;41,5557692307692;;;
"MHK";"151250";;"Vegetatieplot";"151250";"2310";"2310";"Binnen";"2014-09-08";224445,542;193870,164;151250;1;41,5557692307692;;;
"MHK";"152786";;"Vegetatieplot";"152786";"2310";"2310";"Binnen";"2014-09-19";220221,596;196526,11;152786;0,704694860742418;41,5557692307692;;;
"MHK";"20178";;"Vegetatieplot";"20178";"2310";"2310";"Binnen";"2014-09-08";223997,62;193678,129;20178;1;41,5557692307692;;;
"MHK";"23762";;"Vegetatieplot";"23762";"2310";"2310";"Binnen";"2014-09-11";226109,625;194286,116;23762;1;41,5557692307692;;;
"MHK";"27090";;"Vegetatieplot";"27090";"2310";"2310";"Binnen";"2015-06-01";227805,547;192878,056;27090;1;41,5557692307692;;;
"MHK";"28370";;"Vegetatieplot";"28370";"2310";"2310";"Binnen";"2014-08-28";224925,617;189998,194;28370;0,871001951894246;41,5557692307692;;;
"MHK";"29406";;"Vegetatieplot";"29406";"2310";"2310";"Binnen";"2014-08-21";154397,518;232526,165;29406;1;41,5557692307692;;;
"MHK";"29622";;"Vegetatieplot";"29622";"2310";"2310";"Binnen";"2014-09-08";217117,528;199886,051;29622;0,698568377871301;41,5557692307692;;;
"MHK";"304338";;"Vegetatieplot";"304338";"2310";"2310";"Binnen";"2014-09-22";220733,556;196910,031;304338;1;41,5557692307692;;;
"MHK";"306130";;"Vegetatieplot";"306130";"2310";"2310";"Binnen";"2014-09-10";229981,574;195534,141;306130;1;41,5557692307692;;;
"MHK";"32466";;"Vegetatieplot";"32466";"2310";"2310";"Binnen";"2014-09-11";224797,609;193358,157;32466;1;41,5557692307692;;;
"MHK";"331702";;"Vegetatieplot";"331702";"2310";"2310";"Binnen";"2014-09-16";218365,509;197454,074;331702;0,76238754517531;41,5557692307692;;;
"MHK";"34514";;"Vegetatieplot";"34514";"2310";"2310";"Binnen";"2014-08-28";225277,54;189806,117;34514;1;41,5557692307692;;;
"MHK";"35794";;"Vegetatieplot";"35794";"2310";"2310";"Binnen";"2014-09-11";228317,545;195246,134;35794;0,787287434265829;41,5557692307692;;;
"MHK";"38098";;"Vegetatieplot";"38098";"2310";"2310";"Binnen";"2014-09-17";218973,532;196686,113;38098;0,840973736859655;41,5557692307692;;;
"MHK";"398546";;"Vegetatieplot";"398546";"2310";"2310";"Binnen";"2014-09-15";219261,492;197966,072;398546;1;41,5557692307692;;;
"MHK";"433362";;"Vegetatieplot";"433362";"2310";"2310";"Binnen";"2014-09-08";224797,606;194510,089;433362;1;41,5557692307692;;;
"MHK";"45790";;"Vegetatieplot";"45790";"2310";"2310";"Binnen";"2014-08-22";154429,693;231822,192;45790;1;41,5557692307692;;;
"MHK";"458462";;"Vegetatieplot";"458462";"2310";"2310";"Binnen";"2014-09-02";154589,494;230766,088;458462;1;41,5557692307692;;;
"MHK";"459222";;"Vegetatieplot";"459222";"2310";"2310";"Binnen";"2014-09-26";178269,588;218254,144;459222;1;41,5557692307692;;;
"MHK";"463798";;"Vegetatieplot";"463798";"2310";"2310";"Binnen";"2014-09-09";215837,614;199214,013;463798;1;41,5557692307692;;;
"MHK";"476086";;"Vegetatieplot";"476086";"2310";"2310";"Binnen";"2014-09-04";215805,554;200622,042;476086;0,675019340921222;41,5557692307692;;;
