"plot_id";"Kenmerk";"Waarde";"Type"
"127218";"Litter";20;"Percentage"
"127218";"Shrub_and_Treelayer_18m";5;"Percentage"
"162790";"Litter";0;"Percentage"
"162790";"Shrub_and_Treelayer_18m";1;"Percentage"
"18546";"Litter";0;"Percentage"
"18546";"Shrub_and_Treelayer_18m";0;"Percentage"
"20217";"Litter";1;"Percentage"
"20217";"Shrub_and_Treelayer_18m";42;"Percentage"
"243846";"Litter";1;"Percentage"
"243846";"Shrub_and_Treelayer_18m";0;"Percentage"
"258390";"Litter";0;"Percentage"
"258390";"Shrub_and_Treelayer_18m";0;"Percentage"
"386674";"Litter";0;"Percentage"
"386674";"Shrub_and_Treelayer_18m";0;"Percentage"
"409654";"Litter";0;"Percentage"
"409654";"Shrub_and_Treelayer_18m";0;"Percentage"
"41814";"Litter";0;"Percentage"
"41814";"Shrub_and_Treelayer_18m";0;"Percentage"
"47446";"Litter";0;"Percentage"
"47446";"Shrub_and_Treelayer_18m";0;"Percentage"
"528582";"Litter";0;"Percentage"
"528582";"Shrub_and_Treelayer_18m";0;"Percentage"
"556006";"Litter";0;"Percentage"
"556006";"Shrub_and_Treelayer_18m";0;"Percentage"
"589110";"Litter";0;"Percentage"
"589110";"Shrub_and_Treelayer_18m";3;"Percentage"
"63270";"Litter";0;"Percentage"
"63270";"Shrub_and_Treelayer_18m";0;"Percentage"
"643970";"Litter";0;"Percentage"
"643970";"Shrub_and_Treelayer_18m";0;"Percentage"
"659794";"Litter";100;"Percentage"
"659794";"Litter";100;"Percentage"
"659794";"Shrub_and_Treelayer_18m";0;"Percentage"
"659794";"Shrub_and_Treelayer_18m";0;"Percentage"
"676914";"Litter";0;"Percentage"
"676914";"Shrub_and_Treelayer_18m";0;"Percentage"
"79986";"Litter";0;"Percentage"
"79986";"Shrub_and_Treelayer_18m";5;"Percentage"
"100050";"Brushwood";0;"Percentage"
"100050";"Calluna_phase_climax";0;"Percentage"
"100050";"Calluna_phase_degen";0;"Percentage"
"100050";"Calluna_phase_devel";0;"Percentage"
"100050";"Calluna_phase_pioneer";0;"Percentage"
"100050";"Campylopus_introflexus";0;"Percentage"
"100050";"Herbs";1,5;"Percentage"
"100050";"LowShrublayer";87,5;"Percentage"
"100050";"Pioneer_Coryn_Aira";0;"Percentage"
"100050";"Pioneer_Lichenen";0;"Percentage"
"100050";"Pioneer_Mos";0;"Percentage"
"100050";"Pioneer_phase_open_soil";0;"Percentage"
"100050";"Shrub_and_Treelayer_18m";1;"Percentage"
"100050";"Sphagnumlayer";3;"Percentage"
"120110";"Brushwood";0;"Percentage"
"120110";"Calluna_phase_climax";0;"Percentage"
"120110";"Calluna_phase_degen";0;"Percentage"
"120110";"Calluna_phase_devel";0;"Percentage"
"120110";"Calluna_phase_pioneer";0;"Percentage"
"120110";"Campylopus_introflexus";1;"Percentage"
"120110";"Herbs";27,5;"Percentage"
"120110";"LowShrublayer";62,5;"Percentage"
"120110";"Pioneer_Coryn_Aira";0;"Percentage"
"120110";"Pioneer_Lichenen";0;"Percentage"
"120110";"Pioneer_Mos";0;"Percentage"
"120110";"Pioneer_phase_open_soil";0;"Percentage"
"120110";"Shrub_and_Treelayer_18m";4;"Percentage"
"120110";"Sphagnumlayer";1;"Percentage"
"125998";"Brushwood";0,2;"Percentage"
"125998";"Calluna_phase_climax";62,5;"Percentage"
"125998";"Calluna_phase_degen";0;"Percentage"
"125998";"Calluna_phase_devel";27,5;"Percentage"
"125998";"Calluna_phase_pioneer";1;"Percentage"
"125998";"Campylopus_introflexus";0,8;"Percentage"
"125998";"Herbs";35;"Percentage"
"125998";"LowShrublayer";87,5;"Percentage"
"125998";"Pioneer_Coryn_Aira";0;"Percentage"
"125998";"Pioneer_Lichenen";0,1;"Percentage"
"125998";"Pioneer_Mos";1;"Percentage"
"125998";"Pioneer_phase_open_soil";0,2;"Percentage"
"125998";"Shrub_and_Treelayer_18m";70;"Percentage"
"125998";"Sphagnumlayer";0,2;"Percentage"
"136402";"Brushwood";0;"Percentage"
"136402";"Calluna_phase_climax";62,5;"Percentage"
"136402";"Calluna_phase_degen";0;"Percentage"
"136402";"Calluna_phase_devel";1;"Percentage"
"136402";"Calluna_phase_pioneer";1;"Percentage"
"136402";"Campylopus_introflexus";0;"Percentage"
"136402";"Herbs";87,5;"Percentage"
"136402";"LowShrublayer";27,5;"Percentage"
"136402";"Pioneer_Coryn_Aira";0;"Percentage"
"136402";"Pioneer_Lichenen";1;"Percentage"
"136402";"Pioneer_Mos";1,5;"Percentage"
"136402";"Pioneer_phase_open_soil";1;"Percentage"
"136402";"Shrub_and_Treelayer_18m";0;"Percentage"
"136402";"Sphagnumlayer";0;"Percentage"
"20406";"Brushwood";0;"Percentage"
"20406";"Calluna_phase_climax";0;"Percentage"
"20406";"Calluna_phase_degen";0;"Percentage"
"20406";"Calluna_phase_devel";1,5;"Percentage"
"20406";"Calluna_phase_pioneer";1,5;"Percentage"
"20406";"Campylopus_introflexus";0;"Percentage"
"20406";"Herbs";87,5;"Percentage"
"20406";"LowShrublayer";0;"Percentage"
"20406";"Pioneer_Coryn_Aira";0;"Percentage"
"20406";"Pioneer_Lichenen";1;"Percentage"
"20406";"Pioneer_Mos";3;"Percentage"
"20406";"Pioneer_phase_open_soil";1,5;"Percentage"
"20406";"Shrub_and_Treelayer_18m";0;"Percentage"
"20406";"Sphagnumlayer";0;"Percentage"
"218322";"Brushwood";0;"Percentage"
"218322";"Calluna_phase_climax";1,5;"Percentage"
"218322";"Calluna_phase_degen";0;"Percentage"
"218322";"Calluna_phase_devel";1,5;"Percentage"
"218322";"Calluna_phase_pioneer";1;"Percentage"
"218322";"Campylopus_introflexus";0;"Percentage"
"218322";"Herbs";87,5;"Percentage"
"218322";"LowShrublayer";1,5;"Percentage"
"218322";"Pioneer_Coryn_Aira";0;"Percentage"
"218322";"Pioneer_Lichenen";1;"Percentage"
"218322";"Pioneer_Mos";1,5;"Percentage"
"218322";"Pioneer_phase_open_soil";0;"Percentage"
"218322";"Shrub_and_Treelayer_18m";0;"Percentage"
"218322";"Sphagnumlayer";0;"Percentage"
"267190";"Brushwood";0;"Percentage"
"267190";"Calluna_phase_climax";87,5;"Percentage"
"267190";"Calluna_phase_degen";0;"Percentage"
"267190";"Calluna_phase_devel";3;"Percentage"
"267190";"Calluna_phase_pioneer";3;"Percentage"
"267190";"Campylopus_introflexus";0;"Percentage"
"267190";"Herbs";3;"Percentage"
"267190";"LowShrublayer";62,5;"Percentage"
"267190";"Pioneer_Coryn_Aira";0;"Percentage"
"267190";"Pioneer_Lichenen";1;"Percentage"
"267190";"Pioneer_Mos";0;"Percentage"
"267190";"Pioneer_phase_open_soil";0;"Percentage"
"267190";"Shrub_and_Treelayer_18m";10;"Percentage"
"267190";"Sphagnumlayer";0;"Percentage"
"27602";"Brushwood";0;"Percentage"
"27602";"Calluna_phase_climax";1;"Percentage"
"27602";"Calluna_phase_degen";0;"Percentage"
"27602";"Calluna_phase_devel";87,5;"Percentage"
"27602";"Calluna_phase_pioneer";1;"Percentage"
"27602";"Campylopus_introflexus";1;"Percentage"
"27602";"Herbs";27,5;"Percentage"
"27602";"LowShrublayer";87,5;"Percentage"
"27602";"Pioneer_Coryn_Aira";0;"Percentage"
"27602";"Pioneer_Lichenen";1;"Percentage"
"27602";"Pioneer_Mos";1;"Percentage"
"27602";"Pioneer_phase_open_soil";1,5;"Percentage"
"27602";"Shrub_and_Treelayer_18m";0;"Percentage"
"27602";"Sphagnumlayer";0;"Percentage"
"279478";"Brushwood";1;"Percentage"
"279478";"Calluna_phase_climax";3;"Percentage"
"279478";"Calluna_phase_degen";1;"Percentage"
"279478";"Calluna_phase_devel";1,5;"Percentage"
"279478";"Calluna_phase_pioneer";1;"Percentage"
"279478";"Campylopus_introflexus";0;"Percentage"
"279478";"Herbs";87,5;"Percentage"
"279478";"LowShrublayer";0;"Percentage"
"279478";"Pioneer_Coryn_Aira";0;"Percentage"
"279478";"Pioneer_Lichenen";1;"Percentage"
"279478";"Pioneer_Mos";1,5;"Percentage"
"279478";"Pioneer_phase_open_soil";1;"Percentage"
"279478";"Shrub_and_Treelayer_18m";1;"Percentage"
